"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2015,5,6.9,1,NA,6.9,NA,NA,6.9,0,1,0,0,1,1,0,1,0,0,1,6.9,NA,6.9,NA,NA,6.9,-5
"2",2015,8,4.5,2,NA,4.5,NA,NA,4.5,0,2,0,0,2,3,0,3,0,0,3,5.3,NA,5.3,NA,NA,5.3,-2
"3",2015,10,7.39918032786885,61,8.01923076923077,6.93857142857143,7.10833333333333,7.28055555555556,7.44883720930233,26,35,12,18,43,64,26,38,12,18,46,7.30078125,8.01923076923077,6.80921052631579,7.10833333333333,7.28055555555556,7.30869565217391,0
"4",2015,11,7.24010989010989,91,7.98974358974359,6.67788461538461,7.05,7.18181818181818,7.248125,39,52,12,11,80,155,65,90,24,29,126,7.26516129032258,8.00153846153846,6.73333333333333,7.07916666666667,7.24310344827586,7.27023809523809,1
"5",2015,12,7.28044776119403,67,7.79275862068966,6.88947368421053,6.93846153846154,6.9,7.34719298245614,29,38,13,10,57,222,94,128,37,39,183,7.26977477477477,7.93712765957447,6.7796875,7.02972972972973,7.15512820512821,7.29420765027322,2
"6",2016,1,6.91710526315789,76,7.59,6.58725490196078,6.81739130434783,6.25,6.97428571428571,25,51,23,6,70,298,119,179,60,45,253,7.1798322147651,7.86420168067227,6.72486033519553,6.94833333333333,7.03444444444444,7.20569169960474,3
"7",2016,2,7.314,50,7.75416666666667,6.90769230769231,7.2,7.48333333333333,7.29090909090909,24,26,9,6,44,348,143,205,69,51,297,7.1991091954023,7.84573426573427,6.7480487804878,6.98115942028986,7.08725490196078,7.2183164983165,4
"8",2016,3,6.95859649122807,57,7.46,6.566875,6.93444444444444,6.83,6.97096153846154,25,32,9,5,52,405,168,237,78,56,349,7.16525925925926,7.78833333333333,6.72358649789029,6.97576923076923,7.06428571428571,7.18146131805158,5
"9",2016,4,6.63111111111111,45,7.65882352941177,6.00714285714286,6.6875,5.9,6.7225,17,28,8,5,40,450,185,265,86,61,389,7.11184444444444,7.77643243243243,6.64788679245283,6.94895348837209,6.96885245901639,7.13426735218509,6
"10",2016,5,7.00652173913043,46,7.8125,6.57666666666667,6.96363636363636,5.8,7.15365853658537,16,30,11,5,41,496,201,295,97,66,430,7.10207661290323,7.77930348258707,6.64064406779661,6.95061855670103,6.88030303030303,7.13611627906977,7
"11",2016,6,7.28059701492537,67,7.7515625,6.85,7,6.66,7.33064516129032,32,35,10,5,62,563,233,330,107,71,492,7.12332149200711,7.77549356223176,6.66284848484848,6.95523364485981,6.86478873239437,7.16063008130081,8
"12",2016,7,7.27333333333333,60,7.88636363636364,6.91842105263158,6.83333333333333,6.83333333333333,7.32222222222222,22,38,15,6,54,623,255,368,122,77,546,7.13776886035313,7.78505882352941,6.68923913043478,6.94024590163934,6.86233766233766,7.17661172161172,9
"13",2016,8,6.83333333333333,51,7.7,6.47222222222222,7.11363636363636,6.8,6.83777777777778,15,36,11,6,45,674,270,404,133,83,591,7.11473293768546,7.78033333333333,6.66990099009901,6.95458646616541,6.8578313253012,7.15081218274112,10
"14",2016,9,6.81034482758621,58,7.26,6.57368421052632,6.18,7.22222222222222,6.73469387755102,20,38,10,9,49,732,290,442,143,92,640,7.09061475409836,7.74444827586207,6.66162895927602,6.90041958041958,6.89347826086956,7.118953125,11
"15",2016,10,7.11538461538461,65,7.63548387096774,6.64117647058824,6.70714285714286,6.35,7.23839285714286,31,34,14,9,56,797,321,476,157,101,696,7.09263488080301,7.73392523364486,6.66016806722689,6.8831847133758,6.84504950495049,7.12856321839081,12
"16",2016,11,6.88409090909091,66,7.652,6.41585365853659,6.425,6.18888888888889,6.99385964912281,25,41,16,9,57,863,346,517,173,110,753,7.07668597914253,7.72800578034682,6.64079303675048,6.84080924855491,6.79136363636364,7.11836653386454,13
"17",2016,12,6.71176470588235,34,7.23076923076923,6.39047619047619,6.75714285714286,6.5,6.75714285714286,13,21,7,6,28,897,359,538,180,116,781,7.06285395763657,7.71,6.63102230483271,6.83755555555556,6.77629310344828,7.10541613316261,14
"18",2017,1,6.71836734693878,49,7.02380952380952,6.48928571428571,6.78461538461538,6.5,6.72291666666667,21,28,13,1,48,946,380,566,193,117,829,7.04501057082452,7.67207894736842,6.62401060070671,6.8339896373057,6.77393162393162,7.08326899879373,15
"19",2017,2,7.34125,40,8.01944444444444,6.78636363636364,7.11428571428571,7.4,7.33815789473684,18,22,7,2,38,986,398,588,200,119,867,7.05702839756592,7.68778894472362,6.63008503401361,6.8438,6.7844537815126,7.09444059976932,16
"20",2017,3,7,30,7.34615384615385,6.73529411764706,6.5625,7.16666666666667,6.98148148148148,13,17,8,3,27,1016,411,605,208,122,894,7.05534448818898,7.67698296836983,6.63304132231405,6.83298076923077,6.79385245901639,7.09102908277405,17
"21",2017,4,7.00909090909091,33,7.6,6.3,6.41666666666667,5.85714285714286,7.31923076923077,18,15,6,7,26,1049,429,620,214,129,920,7.0538894184938,7.67375291375291,6.62498387096774,6.82130841121495,6.74302325581395,7.09747826086957,18
"22",2017,5,7.20540540540541,37,7.67083333333333,6.34615384615385,7,7.33333333333333,7.19411764705882,24,13,2,3,34,1086,453,633,216,132,954,7.05905156537753,7.67359823399558,6.61925750394945,6.82296296296296,6.75643939393939,7.10092243186583,19
"23",2017,6,6.91666666666667,30,7.69166666666667,6.4,6.6,7.45,6.83461538461538,12,18,7,4,26,1116,465,651,223,136,980,7.05522401433692,7.67406451612903,6.61319508448541,6.81596412556054,6.77683823529412,7.09385714285714,20
"24",2017,7,7.02571428571429,35,7.5,6.70952380952381,7.35555555555556,6.75,7.06129032258065,14,21,9,4,31,1151,479,672,232,140,1011,7.05432667245873,7.66897703549061,6.61620535714286,6.83689655172414,6.77607142857143,7.09285855588526,21
"25",2017,8,6.91176470588235,34,7.26666666666667,6.63157894736842,7.04285714285714,7.1,6.87931034482759,15,19,7,5,29,1185,494,691,239,145,1040,7.05023628691983,7.65676113360324,6.61662807525325,6.84292887029289,6.78724137931034,7.08690384615385,22
"26",2017,9,7.11666666666667,30,7.38888888888889,7,6.79285714285714,6.4,7.26,9,21,14,5,25,1215,503,712,253,150,1065,7.05187654320988,7.65196819085487,6.62793539325843,6.8401581027668,6.77433333333333,7.09096713615024,23
"27",2017,10,6.73181818181818,44,7.17619047619048,6.32608695652174,6.64285714285714,6.78571428571429,6.72162162162162,21,23,7,7,37,1259,524,735,260,157,1102,7.04069102462272,7.63290076335878,6.61848979591837,6.83484615384615,6.77484076433121,7.07856624319419,24
"28",2017,11,6.94634146341463,41,7.68888888888889,6.36521739130435,6.04,6.6375,7.02121212121212,18,23,10,8,33,1300,542,758,270,165,1135,7.03771538461538,7.63476014760148,6.61080474934037,6.80540740740741,6.76818181818182,7.0768986784141,25
"29",2017,12,7.05333333333333,30,7.33076923076923,6.84117647058823,6.58,7.04,7.056,13,17,5,5,25,1330,555,775,275,170,1160,7.03806766917293,7.62763963963964,6.61585806451613,6.80130909090909,6.77617647058823,7.07644827586207,26
"30",2018,1,6.89622666666667,45,7.32808461538462,6.30526315789474,6.29230769230769,6.53428571428571,6.9629,26,19,13,7,38,1375,581,794,288,177,1198,7.0334256,7.61423442340792,6.60842569269521,6.77833333333333,6.76661016949152,7.07284657762938,27
"31",2018,2,7.15282051282051,39,7.49857142857143,6.74944444444444,6.72727272727273,7.37857142857143,7.1034375,21,18,11,7,32,1414,602,812,299,184,1230,7.03671867043847,7.61019966777409,6.61155172413793,6.77645484949833,6.78989130434782,7.07364243902439,28
"32",2018,3,7.2609375,32,7.5775,6.73333333333333,7.33333333333333,7.16666666666667,7.27068965517241,20,12,3,3,29,1446,622,824,302,187,1259,7.0416806362379,7.60914823151125,6.61332524271845,6.78198675496689,6.795935828877,7.07818125496426,29
"33",2018,4,6.90645161290323,31,7.63333333333333,6.60909090909091,6,7.33333333333333,6.86071428571429,9,22,8,3,28,1477,631,846,310,190,1287,7.03884238320921,7.60949318541997,6.61321513002364,6.7618064516129,6.80442105263158,7.07345003885004,30
"34",2018,5,6.85454545454545,33,7.725,6.03529411764706,6.52727272727273,6.96,6.83571428571429,16,17,11,5,28,1510,647,863,321,195,1315,7.03481470198675,7.61234961360124,6.60183082271147,6.75376947040498,6.80841025641025,7.06838798479088,31
"35",2018,6,6.75862068965517,29,7.21363636363636,6.48055555555556,5.94285714285714,7.15,6.72962962962963,11,18,7,2,27,1539,658,881,328,197,1342,7.02961026640676,7.60568419452888,6.59935300794552,6.73646341463415,6.81187817258883,7.06157242921013,32
"36",2018,7,7.39,20,8.45714285714286,6.81538461538462,6.51666666666667,7,7.41052631578947,7,13,6,1,19,1559,665,894,334,198,1361,7.03423361128929,7.61464691729323,6.60249440715884,6.73251497005988,6.81282828282828,7.06644393828068,33
"37",2018,8,7.12,25,7.72307692307692,6.46666666666667,6.525,6.33333333333333,7.22727272727273,13,12,4,3,22,1584,678,906,338,201,1383,7.03558724747475,7.61672595870207,6.60069536423841,6.73005917159763,6.80567164179104,7.06900231381056,34
"38",2018,9,6.33181818181818,22,7.22222222222222,5.71538461538462,4,5,6.3952380952381,9,13,3,1,21,1606,687,919,341,202,1404,7.02594657534246,7.61155778748181,6.58817192600653,6.70604105571847,6.79673267326732,7.05892464387464,35
"39",2018,10,6.7,28,7.01578947368421,6.03333333333333,5.96,6.33333333333333,6.744,19,9,5,3,25,1634,706,928,346,205,1429,7.0203611995104,7.59552436260623,6.58279094827586,6.69526011560694,6.78995121951219,7.05341511546536,36
"40",2018,11,7.00645161290323,31,7.39166666666667,6.76315789473684,6.35714285714286,6.5,7.10384615384615,12,19,7,5,26,1665,718,947,353,210,1455,7.02010222222222,7.59211727019499,6.58640971488912,6.6885552407932,6.78304761904762,7.05431628865979,37
"41",2018,12,7.11714285714286,35,7.88888888888889,6.3,6.18571428571429,6.75,7.16451612903226,18,17,7,4,31,1700,736,964,360,214,1486,7.02210011764706,7.59937527173913,6.58135892116183,6.67877777777778,6.78242990654205,7.05661520861373,38
"42",2019,1,6.66486486486486,37,7.1375,5.79230769230769,5.91428571428571,5.68,6.81875,24,13,7,5,32,1737,760,977,367,219,1518,7.01449061600461,7.58478973684211,6.57085977482088,6.6641961852861,6.7572602739726,7.05160092226614,39
"43",2019,2,6.74375,32,7.28571428571429,6.32222222222222,6.4,6.58333333333333,6.78076923076923,14,18,7,6,26,1769,774,995,374,225,1544,7.00959310344828,7.57938010335917,6.56636180904523,6.6592513368984,6.75262222222222,7.04704028497409,40
"44",2019,3,6.45333333333333,30,6.8375,6.01428571428571,5.5,6.6125,6.39545454545455,16,14,6,8,22,1799,790,1009,380,233,1566,7.00031695386326,7.5643546835443,6.55870168483647,6.64094736842105,6.74781115879828,7.0378864623244,41
"45",2019,4,6.49142857142857,35,6.87692307692308,6.26363636363636,5.78571428571429,6.1,6.54193548387097,13,22,7,4,31,1834,803,1031,387,237,1597,6.99060534351145,7.55322565379826,6.55240543161979,6.62547803617571,6.7368776371308,7.02825936130244,42
"46",2019,5,6.77058823529412,34,7.46153846153846,6.34285714285714,5.9,6.5,6.7875,13,21,9,2,32,1868,816,1052,396,239,1629,6.98660074946467,7.55176495098039,6.54822243346008,6.6089898989899,6.73489539748954,7.0235298956415,43
"47",2019,6,6.78548387096774,31,7.30666666666667,6.296875,6.10714285714286,6.88571428571429,6.75625,15,16,7,7,24,1899,831,1068,403,246,1653,6.98331764086361,7.54734079422383,6.54445692883895,6.6002729528536,6.73918699186992,7.01964924379915,44
"48",2019,7,6.83695652173913,23,6.93055555555556,6.5,NA,5.33333333333333,7.0625,18,5,0,3,20,1922,849,1073,403,249,1673,6.9815661810614,7.5342640753828,6.54424976700839,6.6002729528536,6.72224899598394,7.02016150627615,45
"49",2019,8,6.60576923076923,26,7.5,6.13235294117647,6.92857142857143,8.1,6.48125,9,17,7,2,24,1948,858,1090,410,251,1697,6.97655041067762,7.53390466200466,6.5378256880734,6.60587804878049,6.73322709163347,7.01253989393047,46
