"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2001,5,6,2,6,6,NA,6,6,1,1,0,1,1,2,1,1,0,1,1,6,6,6,NA,6,6,0
"2",2001,6,8,7,8.66666666666667,4,NA,8,8,6,1,0,3,4,9,7,2,0,4,5,7.55555555555556,8.28571428571429,5,NA,7.5,7.6,1
"3",2001,7,7.7,5,7.75,7.5,NA,9,7.375,4,1,0,1,4,14,11,3,0,5,9,7.60714285714286,8.09090909090909,5.83333333333333,NA,7.8,7.5,2
"4",2001,8,7.25,8,7.2,7.33333333333333,7,NA,7.25,5,3,1,0,8,22,16,6,1,5,17,7.47727272727273,7.8125,6.58333333333333,7,7.8,7.38235294117647,3
"5",2001,9,7.66666666666667,6,9.33333333333333,6,NA,3,8.6,3,3,0,1,5,28,19,9,1,6,22,7.51785714285714,8.05263157894737,6.38888888888889,7,7,7.65909090909091,4
"6",2001,10,7,4,7,7,NA,7,7,3,1,0,1,3,32,22,10,1,7,25,7.453125,7.90909090909091,6.45,7,7,7.58,5
"7",2001,11,8,7,8.16666666666667,7,NA,7.33333333333333,8.5,6,1,0,3,4,39,28,11,1,10,29,7.55128205128205,7.96428571428571,6.5,7,7.1,7.70689655172414,6
"8",2001,12,7.125,8,7.8,6,NA,5,7.42857142857143,5,3,0,1,7,47,33,14,1,11,36,7.47872340425532,7.93939393939394,6.39285714285714,7,6.90909090909091,7.65277777777778,7
"9",2002,2,7.14285714285714,7,7.16666666666667,7,NA,7,7.25,6,1,0,3,4,54,39,15,1,14,40,7.43518518518519,7.82051282051282,6.43333333333333,7,6.92857142857143,7.6125,9
"10",2002,3,9,3,9,NA,NA,10,8.5,3,0,0,1,2,57,42,15,1,15,42,7.51754385964912,7.90476190476191,6.43333333333333,7,7.13333333333333,7.65476190476191,10
"11",2002,4,7.33333333333333,3,7.33333333333333,NA,NA,7,7.5,3,0,0,1,2,60,45,15,1,16,44,7.50833333333333,7.86666666666667,6.43333333333333,7,7.125,7.64772727272727,11
"12",2002,5,6.5,6,6.8,5,NA,5,6.8,5,1,0,1,5,66,50,16,1,17,49,7.41666666666667,7.76,6.34375,7,7,7.56122448979592,12
"13",2002,6,6.125,8,6.83333333333333,4,NA,6,6.14285714285714,6,2,0,1,7,74,56,18,1,18,56,7.27702702702703,7.66071428571429,6.08333333333333,7,6.94444444444444,7.38392857142857,13
"14",2002,7,7,4,7,7,NA,7,7,3,1,0,1,3,78,59,19,1,19,59,7.26282051282051,7.6271186440678,6.13157894736842,7,6.94736842105263,7.36440677966102,14
"15",2002,8,7.42857142857143,14,7.83333333333333,5,NA,7.33333333333333,7.45454545454545,12,2,0,3,11,92,71,21,1,22,70,7.28804347826087,7.66197183098592,6.02380952380952,7,7,7.37857142857143,15
"16",2002,9,7.22727272727273,11,8.71428571428571,4.625,NA,6,7.5,7,4,0,2,9,103,78,25,1,24,79,7.28155339805825,7.75641025641026,5.8,7,6.91666666666667,7.39240506329114,16
