"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2018,9,5.5,6,8,5,NA,9,4.8,1,5,0,1,5,6,1,5,0,1,5,5.5,8,5,NA,9,4.8,-1
"2",2018,10,7.96357142857143,14,8,7.949,8,7.698,8.11111111111111,4,10,1,5,9,20,5,15,1,6,14,7.2245,8,6.966,8,7.915,6.92857142857143,0
"3",2018,11,7.75925925925926,27,8.28571428571429,7.19230769230769,NA,7.83333333333333,7.75,14,13,0,3,24,47,19,28,1,9,38,7.53170212765957,8.21052631578947,7.07107142857143,8,7.88777777777778,7.44736842105263,1
"4",2018,12,8.05038571428571,280,8.39731550802139,7.35279569892473,7.48055555555556,8.32978723404255,7.99402575107296,187,93,18,47,233,327,206,121,19,56,271,7.97583486238532,8.38008737864078,7.28760330578512,7.50789473684211,8.25875,7.91737269372694,2
"5",2019,1,7.99052287581699,306,8.36123655913979,7.41591666666667,7.46666666666667,8.14090909090909,7.96526717557252,186,120,18,44,262,633,392,241,37,100,533,7.98293522906793,8.37114285714286,7.35149377593361,7.48783783783784,8.2069,7.94091557223264,3
"6",2019,2,7.80022099447514,181,8.1825,7.23465753424658,7.575,7.78625,7.80322147651007,108,73,14,32,149,814,500,314,51,132,682,7.94230712530713,8.330396,7.32433121019108,7.51176470588235,8.10492424242424,7.91083284457478,4
"7",2019,3,7.69694444444444,180,8.01586538461538,7.26052631578947,7.32222222222222,7.6,7.7090625,104,76,18,20,160,994,604,390,69,152,842,7.89787525150905,8.27623841059602,7.31189743589744,7.46231884057971,8.03848684210526,7.87249168646081,5
"8",2019,4,7.64274647887324,142,7.94166666666667,7.12538461538462,7.0625,7.82608695652174,7.60731092436975,90,52,8,23,119,1136,694,442,77,175,961,7.86598415492958,8.23285014409222,7.28995475113122,7.42077922077922,8.01057142857143,7.83965452653486,6
"9",2019,5,7.61748091603053,131,8.0322972972973,7.07894736842105,7.17857142857143,7.4495,7.64774774774775,74,57,14,20,111,1267,768,499,91,195,1072,7.84029044988161,8.21352604166666,7.26585170340681,7.38351648351648,7.95302564102564,7.81978358208955,7
"10",2019,6,7.77341085271318,129,8.0610843373494,7.25434782608696,7.2,7.77277777777778,7.77351351351351,83,46,10,18,111,1396,851,545,101,213,1183,7.83411031518625,8.1986580493537,7.26488073394495,7.36534653465347,7.93779342723005,7.81544209636517,8
"11",2019,7,7.74367287037037,108,8.18217597222222,6.86666666666667,7,7.40666666666667,7.79802870967742,72,36,7,15,93,1504,923,581,108,228,1276,7.82761613696808,8.19737234019501,7.24020654044751,7.34166666666667,7.90285087719298,7.81417293887147,9
"12",2019,8,7.63093220338983,118,7.82464788732394,7.33829787234043,7.6,7.97058823529412,7.57376237623762,71,47,10,17,101,1622,994,628,118,245,1377,7.81330744143033,8.17074916498994,7.24754777070064,7.3635593220339,7.90755102040816,7.79653933914306,10
"13",2019,9,7.65045871559633,109,7.94852941176471,7.15609756097561,7.35,7.25,7.7,68,41,4,12,97,1731,1062,669,122,257,1474,7.80305295782785,8.15652040489642,7.24194319880418,7.36311475409836,7.87684824902724,7.79018634328358,11
"14",2019,10,7.6965,100,7.98153846153846,7.16714285714286,6.76666666666667,7.43846153846154,7.73505747126437,65,35,6,13,87,1831,1127,704,128,270,1561,7.79723357181868,8.14642827861579,7.23822443181818,7.33515625,7.85574074074074,7.78711381806534,12
"15",2019,11,7.73550458715596,109,7.99264705882353,7.3090243902439,6.65384615384615,6.992,7.81060606060606,68,41,13,10,99,1940,1195,745,141,280,1660,7.79376529381443,8.13767754811715,7.24212080536913,7.27234042553192,7.82489285714286,7.78851486144578,13
"16",2019,12,7.39409090909091,110,7.99365079365079,6.59042553191489,6.3125,7.06538461538462,7.43814432989691,63,47,8,13,97,2050,1258,792,149,293,1757,7.77231935121951,8.13046476152623,7.20344696969697,7.22080536912752,7.79119453924915,7.76917169607285,14
"17",2020,1,7.64022222222222,135,7.93,6.952,7.6875,7.95833333333333,7.60918699186992,95,40,8,12,123,2185,1353,832,157,305,1880,7.76415774370709,8.1163892609017,7.19135817307692,7.24458598726115,7.79777049180328,7.75870461170213,15
"18",2020,2,7.48616071428571,112,7.76506849315069,6.96410256410256,7,7.453125,7.49166666666667,73,39,5,16,96,2297,1426,871,162,321,1976,7.75060281671746,8.09840439691445,7.18118254879449,7.23703703703704,7.78059190031153,7.7457311082996,16
"19",2020,3,7.63194444444444,108,8.0463768115942,6.89871794871795,7.14166666666667,7.78461538461538,7.61105263157895,69,39,12,13,95,2405,1495,910,174,334,2071,7.74527429106029,8.09600312374582,7.16907692307692,7.23045977011494,7.78074850299401,7.73955319652342,17
"20",2020,4,7.81073863636364,88,8.07690476190476,7.14,6.94444444444444,8.025,7.77690789473684,63,25,9,12,76,2493,1558,935,183,346,2147,7.74758510629763,8.09523085365854,7.16829946524064,7.21639344262295,7.78921965317919,7.74087548672566,18
"21",2020,5,7.8505376344086,93,8.155,7.2969696969697,6.8,8.125,7.80987654320988,60,33,7,12,81,2586,1618,968,190,358,2228,7.75128757540603,8.09744726205192,7.17268595041322,7.20105263157895,7.8004748603352,7.7433840529623,19
"22",2020,6,7.84583333333333,96,8.084,6.9952380952381,6.75,7.57692307692308,7.88795180722892,75,21,4,13,83,2682,1693,989,194,371,2311,7.75467176360925,8.09685154754873,7.16891809908999,7.19175257731959,7.79264150943396,7.7485762310688,20
"23",2020,7,7.81703296703297,91,7.96779661016949,7.5390625,7.42857142857143,7.725,7.82590361445783,59,32,7,8,83,2773,1752,1021,201,379,2394,7.75671823656689,8.09250551940639,7.18051909892263,7.2,7.79121372031662,7.75125717209691,21
"24",2020,8,7.30291051948052,77,7.69285714285714,6.83497457142857,6.58888888888889,6.9375,7.34527695652174,42,35,9,8,69,2850,1794,1056,210,387,2463,7.74445746666667,8.08314920289855,7.16906639204545,7.17380952380952,7.77356589147287,7.73988379212343,22
"25",2020,9,7.65441860465116,86,7.98193548387097,6.80833333333333,6.9,7.86125,7.60714285714286,62,24,6,16,70,2936,1856,1080,216,403,2533,7.74182008855586,8.07976814116379,7.16105010185185,7.1662037037037,7.77704714640199,7.73621546782471,23
"26",2020,10,7.56610909090909,110,7.91468493150685,6.87837837837838,7.07142857142857,7.31146666666667,7.60631578947368,73,37,7,15,95,3046,1929,1117,223,418,2628,7.73547464871963,8.07352082426128,7.15168675917637,7.16322869955157,7.76033971291866,7.73151970319635,24
"27",2020,11,7.5268828125,128,7.81540229885058,6.91465853658537,7,7.54545454545455,7.52513675213675,87,41,8,11,117,3174,2016,1158,231,429,2745,7.72706262759924,8.06238178075397,7.14329456822107,7.15757575757576,7.75482983682984,7.72272305282331,25
"28",2020,12,7.38785046728972,107,7.625,6.85606060606061,6.5,7.05769230769231,7.43351063829787,74,33,8,13,94,3281,2090,1191,239,442,2839,7.7160002377324,8.04689553588517,7.13533594458438,7.13556485355649,7.7343257918552,7.71314715744981,26
