"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2001,6,6.66666666666667,6,6,8,7,NA,6.66666666666667,4,2,1,0,6,6,4,2,1,0,6,6.66666666666667,6,8,7,NA,6.66666666666667,0
"2",2001,8,6.16666666666667,6,6.5,5.5,NA,6.33333333333333,6,4,2,0,3,3,12,8,4,1,3,9,6.41666666666667,6.25,6.75,7,6.33333333333333,6.44444444444444,2
"3",2001,9,6.66666666666667,3,7,6,NA,NA,6.66666666666667,2,1,0,0,3,15,10,5,1,3,12,6.46666666666667,6.4,6.6,7,6.33333333333333,6.5,3
"4",2001,10,7,1,7,NA,NA,NA,7,1,0,0,0,1,16,11,5,1,3,13,6.5,6.45454545454545,6.6,7,6.33333333333333,6.53846153846154,4
"5",2001,11,6.25,4,6.25,NA,NA,7,6,4,0,0,1,3,20,15,5,1,4,16,6.45,6.4,6.6,7,6.5,6.4375,5
"6",2001,12,5.5,2,7,4,NA,4,7,1,1,0,1,1,22,16,6,1,5,17,6.36363636363636,6.4375,6.16666666666667,7,6,6.47058823529412,6
"7",2002,1,8.5,2,8.5,NA,NA,NA,8.5,2,0,0,0,2,24,18,6,1,5,19,6.54166666666667,6.66666666666667,6.16666666666667,7,6,6.68421052631579,7
"8",2002,2,7,6,6.75,7.5,8,7.5,6.75,4,2,1,2,4,30,22,8,2,7,23,6.63333333333333,6.68181818181818,6.5,7.5,6.42857142857143,6.69565217391304,8
"9",2002,3,5.66666666666667,3,5.66666666666667,NA,NA,4,6.5,3,0,0,1,2,33,25,8,2,8,25,6.54545454545455,6.56,6.5,7.5,6.125,6.68,9
"10",2002,4,7.66666666666667,3,7.5,8,NA,7.5,8,2,1,0,2,1,36,27,9,2,10,26,6.63888888888889,6.62962962962963,6.66666666666667,7.5,6.4,6.73076923076923,10
"11",2002,5,7,2,7,NA,NA,7,7,2,0,0,1,1,38,29,9,2,11,27,6.65789473684211,6.6551724137931,6.66666666666667,7.5,6.45454545454545,6.74074074074074,11
"12",2002,6,4.5,4,5.5,3.5,5,NA,4.5,2,2,1,0,4,42,31,11,3,11,31,6.45238095238095,6.58064516129032,6.09090909090909,6.66666666666667,6.45454545454545,6.45161290322581,12
