"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"391",229220,"Santa Maria",2017,391,7.5,7.032,6133
"392",63628,"The Manhattan Project",2012,392,7.34,7.032,9549
"393",138161,"Firefly: The Game",2013,393,7.39,7.03,11256
"394",251658,"Sprawlopolis",2018,394,7.41,7.029,7792
"395",128671,"Spartacus: A Game of Blood and Treachery",2012,395,7.48,7.027,7998
"396",151347,"Millennium Blades",2016,396,7.71,7.027,4492
"397",372,"Schotten Totten",1999,397,7.33,7.025,9467
"398",100901,"Flash Point: Fire Rescue",2011,398,7.18,7.023,22689
"399",297562,"Kemet: Blood and Sand",2021,399,8.13,7.022,2677
"400",34219,"Biblios",2007,400,7.2,7.021,16556
"401",246684,"Smartphone Inc.",2018,401,7.64,7.017,4498
"402",92415,"Skull",2011,402,7.2,7.016,18421
"403",270844,"Imperial Settlers: Empires of the North",2019,403,7.52,7.015,5914
"404",96913,"Lancaster",2011,404,7.41,7.013,7086
"405",27162,"Kingsburg",2007,405,7.18,7.013,19021
"406",262543,"Wavelength",2019,406,7.38,7.011,8240
"407",274960,"Point Salad",2019,407,7.23,7.01,13935
"408",79828,"A Few Acres of Snow",2011,408,7.38,7.01,7711
"409",66362,"Glen More",2010,409,7.31,7.007,9002
"410",11170,"Heroscape Master Set: Rise of the Valkyrie",2004,410,7.44,7.007,8028
"411",176396,"Quadropolis",2016,411,7.25,7.006,12188
"412",197376,"Charterstone",2017,412,7.28,7.005,13493
"413",192153,"Pandemic: Reign of Cthulhu",2016,413,7.39,7.003,9161
"414",301880,"Raiders of Scythia",2020,414,7.86,7.001,3462
"415",15985,"Blood Bowl: Living Rulebook",2004,415,7.85,7.001,3404
"416",18833,"Lord of the Rings: The Confrontation",2005,416,7.48,7,6002
"417",150145,"Skull King",2013,417,7.47,6.998,6291
"418",150,"PitchCar",1995,418,7.27,6.995,10321
"419",137408,"Amerigo",2013,419,7.46,6.994,5868
"420",318084,"Furnace",2020,420,7.48,6.994,5803
"421",105134,"Risk Legacy",2011,421,7.4,6.991,8046
"422",25417,"BattleLore",2006,422,7.36,6.99,9228
"423",62222,"Commands & Colors: Napoleonics",2010,423,8.01,6.99,2893
"424",150658,"Pandemic: The Cure",2014,424,7.27,6.989,10088
"425",202426,"Sidereal Confluence",2017,425,7.8,6.987,3499
"426",194607,"Mystic Vale",2016,426,7.28,6.986,10525
"427",5404,"Amun-Re",2003,427,7.3,6.983,8870
"428",256730,"Pipeline",2019,428,7.65,6.983,4149
"429",157969,"Sheriff of Nottingham",2014,429,7.11,6.983,32808
"430",171,"Chess",1475,430,7.17,6.981,32436
"431",712,"Blood Bowl (Third Edition)",1994,431,7.55,6.979,5450
"432",156858,"Black Orchestra",2016,432,7.51,6.978,5435
"433",17226,"Descent: Journeys in the Dark",2005,433,7.29,6.977,11561
"434",318184,"Imperium: Classics",2021,434,7.8,6.977,3589
"435",83330,"Mansions of Madness",2011,435,7.28,6.977,13248
"436",146791,"Shadows of Brimstone: City of the Ancients",2014,436,7.96,6.976,3683
"437",298069,"Cubitos",2021,437,7.56,6.976,4934
"438",169427,"Middara: Unintentional Malum – Act 1",2019,438,8.73,6.975,2016
"439",293141,"King of Tokyo: Dark Edition",2020,439,7.76,6.975,3825
