"","ID","Name","Year","Rank","Average","Bayes.average","Users.rated"
"284",203420,"Exit: The Game – The Abandoned Cabin",2016,284,7.46,7.156,10538
"285",13122,"Antiquity",2004,285,7.87,7.155,4243
"286",143693,"Glass Road",2013,286,7.46,7.155,10577
"287",139976,"Cthulhu Wars",2015,287,7.88,7.153,5297
"288",230253,"Star Realms: Frontiers",2018,288,7.96,7.15,4186
"289",222509,"Lords of Hellas",2018,289,7.73,7.149,6679
"290",193037,"Dead of Winter: The Long Night",2016,290,7.57,7.149,9196
"291",227789,"Heaven & Ale",2017,291,7.56,7.147,7830
"292",209685,"Century: Spice Road",2017,292,7.33,7.146,22811
"293",257499,"Arkham Horror (Third Edition)",2018,293,7.72,7.144,7677
"294",244271,"Dice Throne: Season Two – Battle Chest",2018,294,8.12,7.142,3648
"295",54,"Tikal",1999,295,7.33,7.141,19256
"296",172081,"Burgle Bros.",2015,296,7.47,7.141,10274
"297",136888,"Bruges",2013,297,7.42,7.14,11159
"298",163967,"Tiny Epic Galaxies",2015,298,7.35,7.139,18659
"299",156546,"Monikers",2015,299,7.78,7.138,4906
"300",311193,"Anno 1800",2020,300,7.78,7.137,4960
"301",140934,"Arboretum",2015,301,7.33,7.135,17569
"302",2653,"Survive: Escape from Atlantis!",1982,302,7.32,7.134,23808
"303",129622,"Love Letter",2012,303,7.23,7.132,63061
"304",172818,"Above and Below",2015,304,7.38,7.132,14933
"305",146439,"BattleLore: Second Edition",2013,305,7.69,7.132,6126
"306",234,"Hannibal: Rome vs. Carthage",1996,306,7.79,7.132,4907
"307",40692,"Small World",2009,307,7.23,7.131,67524
"308",227935,"Wonderland's War",2022,308,8.25,7.131,3176
"309",45315,"Dungeon Lords",2009,309,7.38,7.13,13541
"310",5,"Acquire",1964,310,7.33,7.129,19337
"311",188866,"Awkward Guests",2016,311,7.63,7.127,6578
"312",77130,"Sid Meier's Civilization: The Board Game",2010,312,7.39,7.124,15343
"313",184921,"Bunny Kingdom",2017,313,7.45,7.123,10393
"314",59959,"Letters from Whitechapel",2011,314,7.37,7.12,15179
"315",25292,"Merchants & Marauders",2010,315,7.39,7.119,13620
"316",176920,"Mission: Red Planet (Second Edition)",2015,316,7.42,7.118,10414
"317",181304,"Mysterium",2015,317,7.25,7.117,38921
"318",39856,"Dixit",2008,318,7.22,7.117,58706
"319",219513,"Bärenpark",2017,319,7.32,7.115,16337
"320",21241,"Neuroshima Hex! 3.0",2006,320,7.39,7.115,14395
"321",172,"For Sale",1997,321,7.24,7.115,27842
"322",298047,"Marvel United",2020,322,7.63,7.114,6910
"323",101721,"Mage Wars Arena",2012,323,7.6,7.114,7721
"324",234277,"Nusfjord",2017,324,7.66,7.113,5660
"325",297030,"Tekhenu: Obelisk of the Sun",2020,325,7.77,7.112,4824
"326",163745,"Star Wars: Armada",2015,326,7.83,7.112,5176
"327",285192,"Destinies",2021,327,7.84,7.11,5927
"328",41114,"The Resistance",2009,328,7.24,7.109,38876
"329",50,"Lost Cities",1999,329,7.21,7.109,42395
"330",70919,"Takenoko",2011,330,7.24,7.109,40954
"331",37046,"Ghost Stories",2008,331,7.29,7.107,20612
"332",119890,"Agricola: All Creatures Big and Small",2012,332,7.35,7.107,13259
"333",304420,"Bonfire",2020,333,7.74,7.106,5008
"334",111341,"The Great Zimbabwe",2012,334,7.82,7.103,4127
"335",234487,"Altiplano",2017,335,7.49,7.102,8385
"336",199042,"Harry Potter: Hogwarts Battle",2016,336,7.4,7.1,16305
"337",192458,"51st State: Master Set",2016,337,7.62,7.1,6249
"338",245655,"The King's Dilemma",2019,338,7.84,7.095,4348
"339",251661,"Oathsworn: Into the Deepwood",2022,339,9.18,7.095,2094
"340",316377,"7 Wonders (Second Edition)",2020,340,7.93,7.095,4107
"341",270633,"Aeon's End: The New Age",2019,341,8.58,7.094,2130
"342",291572,"Oath: Chronicles of Empire and Exile",2021,342,7.89,7.089,4722
"343",8217,"San Juan",2004,343,7.24,7.086,23193
"344",246192,"Gizmos",2018,344,7.41,7.084,10118
"345",299659,"Clash of Cultures: Monumental Edition",2021,345,8.48,7.083,2295
"346",63888,"Innovation",2010,346,7.28,7.083,16950
"347",47,"Chinatown",1999,347,7.4,7.082,10114
"348",339789,"Welcome to the Moon",2021,348,8.06,7.082,3099
"349",25554,"Notre Dame",2007,349,7.32,7.082,12953
"350",182134,"Evolution: Climate",2016,350,7.54,7.081,7312
"351",90137,"Blood Bowl: Team Manager – The Card Game",2011,351,7.38,7.08,11014
"352",39683,"At the Gates of Loyang",2009,352,7.37,7.08,10716
"353",17392,"Here I Stand",2006,353,7.9,7.079,3776
"354",250458,"Gùgōng",2018,354,7.47,7.079,7961
"355",1,"Die Macher",1986,355,7.61,7.078,5583
"356",24480,"The Pillars of the Earth",2006,356,7.27,7.078,17275
"357",244711,"Newton",2018,357,7.58,7.075,5980
"358",245934,"Carpe Diem",2018,358,7.54,7.075,6623
"359",310100,"Nemesis: Lockdown",2022,359,8.52,7.071,2460
"360",128271,"Ginkgopolis",2012,360,7.5,7.071,6769
"361",319966,"The King Is Dead: Second Edition",2020,361,7.73,7.07,4651
"362",33160,"Endeavor",2009,362,7.39,7.068,9371
"363",155987,"Abyss",2014,363,7.33,7.068,13057
"364",9217,"Saint Petersburg",2004,364,7.28,7.067,15467
"365",297562,"Kemet: Blood and Sand",2021,365,8.08,7.065,3080
"366",260428,"Pandemic: Fall of Rome",2018,366,7.66,7.063,5295
"367",215311,"Downforce",2017,367,7.33,7.06,11668
"368",31594,"In the Year of the Dragon",2007,368,7.32,7.059,11561
"369",195539,"The Godfather: Corleone's Empire",2017,369,7.54,7.059,6962
"370",40354,"Maria",2009,370,7.99,7.059,3205
"371",144592,"Bruxelles 1893",2013,371,7.62,7.058,5229
"372",70323,"King of Tokyo",2011,372,7.15,7.058,65293
"373",265736,"Tiny Towns",2019,373,7.27,7.057,16025
"374",269210,"Twice as Clever!",2019,374,7.47,7.056,7470
"375",21348,"Ticket to Ride: Märklin",2006,375,7.41,7.054,8992
"376",256226,"Azul: Stained Glass of Sintra",2018,376,7.34,7.053,11797
