"","rank","id","name","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"851",851,238992,"Call to Adventure",4955,3176,1779,519,727,4228,7.16449031685166,7.58429571473552,6.41502323215289,6.23161849710983,6.99823658872077,7.19307746452223,41
"852",852,108906,"Thunder Alley",3370,1644,1726,382,665,2705,7.30745164391691,8.03940638686132,6.61027111239861,6.95978052356021,7.27338345864662,7.31582700184843,97
"853",853,82420,"Summoner Wars: Guild Dwarves vs Cave Goblins",2373,1532,841,377,252,2121,7.5683202697008,7.90872323759791,6.94822829964328,7.01697612732096,7.60396825396825,7.56408486562942,143
"854",854,202408,"Adrenaline",6157,2927,3230,812,924,5233,7.02246992366412,7.5630372360779,6.53261217647058,6.59003694581281,6.86704220779221,7.049914068412,70
"855",855,285984,"Last Bastion",2565,1722,843,249,271,2294,7.54547921247563,7.9102424622532,6.8003756346382,6.58951807228916,7.6219557195572,7.53644471665214,34
"856",856,148319,"Tragedy Looper",4281,2192,2089,507,661,3620,7.17835809390329,7.74462591240875,6.58416993776926,6.55463510848126,7.1652208774584,7.18075690607735,95
"857",857,151004,"Smash Up: Science Fiction Double Feature",3884,3019,865,383,267,3617,7.26321570030896,7.49331062603511,6.46014450867052,6.50673890339426,7.17870786516854,7.26945390655239,101
"858",858,240,"Britannia",4161,2462,1699,410,1154,3007,7.19809130497477,7.60414477660439,6.60968421424367,6.55743902439025,7.17136048526863,7.2083498237446,254
"859",859,172047,"The Others",3702,2214,1488,386,520,3182,7.33879194219341,7.92531516260163,6.46610215053763,6.70264248704663,7.36282692307692,7.33486416404777,72
"860",860,65901,"Age of Industry",2928,1255,1673,362,727,2201,7.35780382172131,7.94215847808765,6.91945050806934,7.08853591160221,7.30243603851444,7.37609204452521,146
"861",861,108784,"Ascension: Storm of Souls",3500,1866,1634,458,501,2999,7.29015278,7.6604471221865,6.86728298653611,6.91200873362446,7.16031137724551,7.31184352450816,127
"862",862,254386,"Raccoon Tycoon",3170,1819,1351,301,447,2723,7.33914304416404,7.79941366135239,6.71943005181347,6.58744186046512,7.1130648769575,7.37625539845758,46
"863",863,201921,"Tiny Epic Quest",6872,4648,2224,903,905,5967,7.00408237048894,7.32637027753873,6.33052383093525,6.17120708748616,6.77187477348066,7.03930071727836,61
"864",864,27588,"Zooloretto",14584,8385,6199,1878,2932,11652,6.81648848944048,7.11481448539058,6.41296155347637,6.35349929179979,6.79971248294679,6.82070984637831,184
"865",865,59946,"Dungeons & Dragons: Castle Ravenloft Board Game",8884,5670,3214,1346,1708,7176,6.97786939329131,7.34855891887125,6.32391494088364,6.34445514115899,6.81985362412178,7.01547961259755,144
"866",866,8051,"Attika",6448,3286,3162,922,1957,4491,6.99143337779157,7.43428149726111,6.53121866540164,6.53677874186551,7.00775625958099,6.98432051213538,226
"867",867,219215,"Werewords",4305,2369,1936,259,561,3744,7.13999567015099,7.53256452511608,6.65962603305785,6.84903474903475,6.94576529411765,7.16909909989316,62
"868",868,299047,"Disney Villainous: Perfectly Wretched",2228,1953,275,63,172,2056,7.75352012118492,7.83534195084485,7.17243636363636,7.00952380952381,7.69947674418605,7.75804125972763,29
"869",869,904,"Nightmare Productions",5276,2682,2594,818,1576,3700,7.04351072403336,7.43826174496644,6.63536799537394,6.58090464547677,7.19422652284264,6.97931394054054,252
"870",870,106217,"Hawaii",4382,1746,2636,545,742,3640,7.12787695801004,7.77026374570447,6.70238100531108,6.93166972477064,6.97797874663073,7.15843313186813,130
"871",871,147151,"Concept",17743,10213,7530,1564,2047,15696,6.79199254184749,7.16152703319299,6.29078991766269,6.27353218030691,6.74686449926722,6.79787793323139,106
"872",872,52461,"Legacy: The Testament of Duke de Crecy",4216,2198,2018,791,736,3480,7.142326164611,7.60749777525023,6.63566253716551,6.63930594184577,7.06196467391304,7.15932215804598,107
"873",873,245643,"Luxor",3929,1843,2086,248,496,3433,7.20285945533215,7.74590982094411,6.72306951102588,6.81778629032258,7.08218346774194,7.22029472764346,53
"874",874,325635,"Unmatched: Little Red Riding Hood vs. Beowulf",1342,1136,206,31,98,1244,8.33528564083458,8.44818955105634,7.71266990291262,7.2258064516129,8.24142857142857,8.34267952572347,20
"875",875,191977,"The Castles of Burgundy: The Card Game",6385,3855,2530,1096,994,5391,6.97517580422866,7.33726394552529,6.42345652173913,6.41265510948905,6.92289839034205,6.98481478575403,77
"876",876,203427,"Fabled Fruit",5662,3164,2498,752,805,4857,7.00688560402684,7.40596226927939,6.50140979583667,6.61683067819149,6.97368363975156,7.01238850319127,70
"877",877,198740,"Lovecraft Letter",3795,2354,1441,195,454,3341,7.22418682476943,7.63692820730671,6.54993754337266,6.41564102564103,7.03689427312775,7.24963753367255,61
"878",878,256788,"Detective Club",2861,1759,1102,135,353,2508,7.39500844110451,7.72478376918704,6.86862477313975,6.65555555555556,7.54756373937677,7.37353634370016,46
"879",879,193214,"Meeple Circus",5103,2946,2157,466,559,4544,7.07122763276504,7.48961539035981,6.49979956884562,6.55261802575107,6.97844364937388,7.08264185959507,58
"880",880,38054,"Snow Tails",6260,2843,3417,951,1311,4949,6.96862338338658,7.44394062961661,6.57315164471759,6.63764528916929,7.00018230358505,6.96026336229541,166
"881",881,207830,"5-Minute Dungeon",8222,5445,2777,649,1198,7024,6.97599196545852,7.28161236363636,6.37674707238026,6.29836671802774,7.04243474958264,6.96465961133257,65
"882",882,210296,"DinoGenics",2118,1278,840,114,351,1767,7.65993043909348,8.19906312206573,6.83967857142857,6.87175438596491,7.66301045584046,7.65931861912846,43
"883",883,235488,"Istanbul: The Dice Game",4006,2363,1643,373,509,3497,7.16586550923615,7.55949184511215,6.59974315276933,6.65664879356568,7.12544249508841,7.17174921361167,58
"884",884,169124,"Flick 'em Up!",8498,5012,3486,1286,1136,7362,6.89286273123088,7.24987998603352,6.37956081468732,6.45721850699844,6.86314172535211,6.89744885764738,86
"885",885,196526,"Coffee Roaster",2587,1822,765,376,440,2147,7.41935390027058,7.74996798024149,6.63193056209151,6.67247340425532,7.45763029545454,7.4115096460177,63
