"","rank","id","name","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",1,174430,"Gloomhaven",50742,35832,14910,2639,7146,43596,8.71393233514643,9.11781476780531,7.74331427162978,7.4338103486169,8.44179043240974,8.75854023580145,65
"2",2,161936,"Pandemic Legacy: Season 1",46813,30931,15882,5651,5612,41201,8.58167596009656,8.8532396159193,8.05279197582169,8.39950893647142,8.40660417141839,8.60552253853061,80
"3",3,224517,"Brass: Birmingham",28955,19166,9789,746,3106,25849,8.65735105784838,8.99260211572576,8.00095900807028,7.57802651474531,8.65675108821636,8.65742314983171,47
"4",4,291457,"Gloomhaven: Jaws of the Lion",20508,16156,4352,1090,2207,18301,8.61781146820753,8.83722420524882,7.80328201516544,7.43970488990826,8.38655625736294,8.64569957543304,24
"5",5,167791,"Terraforming Mars",79181,53767,25414,2984,9490,69691,8.40610567156262,8.77872826175908,7.61776858149052,7.15537184316354,8.18959788935722,8.43558808468813,70
"6",6,233078,"Twilight Imperium: Fourth Edition",17469,9419,8050,451,2131,15338,8.65293350735589,9.29498977279965,7.90168779751553,7.38423725055433,8.52970264195214,8.67005470791498,58
"7",7,342942,"Ark Nova",11048,7584,3464,157,1302,9746,8.67787069876901,9.0320152782173,7.90251489896074,7.27854777070064,8.29839162826421,8.72856654832752,8
"8",8,187645,"Star Wars: Rebellion",26933,18474,8459,1244,3182,23751,8.41964355289051,8.78985729511746,7.6111166970091,7.43037513665595,8.4417669893149,8.41667960296408,75
"9",9,220308,"Gaia Project",20990,12082,8908,836,2244,18746,8.45222065030967,8.93322045108426,7.79983632240682,7.62350004784689,8.43191497326203,8.45465135228849,56
"10",10,162886,"Spirit Island",36002,23968,12034,2030,4475,31527,8.36807624798622,8.84696490862817,7.41427839039388,7.12197431527093,8.38834791061453,8.36519885114347,59
