"","rank","id","name","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",1,174430,"Gloomhaven",51773,36435,15338,2753,7275,44498,8.70343393235856,9.10935469795526,7.73918024253488,7.45110625136215,8.42879895945017,8.74833413973662,67
"2",2,224517,"Brass: Birmingham",30282,20008,10274,802,3235,27047,8.65843122085728,8.99408532437025,8.00476494646681,7.56691743142145,8.64972484698609,8.65947256072762,49
"3",3,161936,"Pandemic Legacy: Season 1",47379,31208,16171,5815,5673,41706,8.5762157578252,8.84848304601385,8.05077407024921,8.39511693895098,8.40326998237265,8.59974046372224,82
"4",4,291457,"Gloomhaven: Jaws of the Lion",21962,17198,4764,1219,2355,19607,8.59487394545123,8.81916827131062,7.78517331234257,7.39768525840853,8.36996163906582,8.62188819962259,26
"5",5,167791,"Terraforming Mars",81080,54968,26112,3120,9697,71383,8.40097195658609,8.77507980115704,7.61344285117954,7.15088351923077,8.19289800659998,8.42923769342841,72
"6",6,342942,"Ark Nova",15365,10613,4752,233,1728,13637,8.64252552033843,8.99446326957505,7.85651640151515,7.01215450643777,8.25602232060185,8.69150092029039,10
"7",7,233078,"Twilight Imperium: Fourth Edition",18045,9686,8359,467,2188,15857,8.64570534995844,9.29168858145777,7.89717160425888,7.44023768736617,8.51998918190128,8.66305207227092,60
"8",8,187645,"Star Wars: Rebellion",27455,18792,8663,1287,3227,24228,8.4196231946822,8.79079858450404,7.61446009580976,7.42610852369852,8.43907733498605,8.41703203937593,77
"9",9,220308,"Gaia Project",21614,12406,9208,876,2299,19315,8.44463410058295,8.92742781637918,7.79416289748045,7.61300917808219,8.42654597651152,8.446787069635,58
"10",10,162886,"Spirit Island",37487,24970,12517,2125,4629,32858,8.36765203270467,8.846747360833,7.41191101302229,7.11422487529412,8.39254199611147,8.36414556120276,61
"11",11,115746,"War of the Ring: Second Edition",17009,11235,5774,795,2198,14811,8.52023635722264,8.95233624121051,7.67946008486318,7.48089811320755,8.73536533212011,8.48831052596043,118
"12",12,182028,"Through the Ages: A New Story of Civilization",27356,14710,12646,1803,3137,24219,8.35391022883463,8.82284848810334,7.8084348378934,7.63799618968386,8.29452985655085,8.3616015549775,82
"13",13,193738,"Great Western Trail",35570,20626,14944,2287,3698,31872,8.27446185605848,8.68556906671192,7.70704367304604,7.79792697857456,8.21557309626825,8.28129451901356,70
"14",14,12333,"Twilight Struggle",44635,29896,14739,3070,7521,37114,8.26847777797693,8.68430425541879,7.42503192889613,7.31023366449512,8.24460108762133,8.27331629142643,199
"15",15,316554,"Dune: Imperium",23704,15250,8454,617,2659,21045,8.33971327834964,8.71514593573771,7.66247788384197,6.93581847649919,8.15705672057164,8.36279162413875,21
"16",16,169786,"Scythe",69930,44349,25581,3122,8443,61487,8.19848203603603,8.6839025975783,7.35692320394042,7.04841965086483,8.06851436337795,8.21632836225543,76
"17",17,84876,"The Castles of Burgundy",53815,34967,18848,3784,7097,46718,8.12859083266748,8.43052909829268,7.56843191213922,7.51654375528541,8.08760323939692,8.1348173181643,138
"18",18,167355,"Nemesis",21440,13164,8276,703,2615,18825,8.34734241464552,8.89375892206017,7.47819948284195,7.2125960170697,8.34005450478011,8.34835478565737,45
"19",19,173346,"7 Wonders Duel",76382,58832,17550,3419,8392,67990,8.10365854180304,8.28922774748436,7.48158403988604,7.03354854050892,8.06070355338417,8.10896047242241,82
"20",20,28720,"Brass: Lancashire",21979,12309,9670,1591,3428,18551,8.18512279448565,8.65219719229832,7.59058104033092,7.7983936706474,8.25629254667445,8.17197148671231,178
"21",21,124361,"Concordia",34107,20196,13911,1714,4357,29750,8.11670781833641,8.49303233808675,7.57035960462943,7.37743718203034,8.17210613266009,8.10859452571429,106
"22",22,177736,"A Feast for Odin",22835,13380,9455,1238,2682,20153,8.19591736063061,8.6922558258595,7.49353675092544,7.31201085621971,8.15835636465324,8.20091605021585,70
"23",23,120677,"Terra Mystica",43588,22778,20810,3041,5133,38455,8.1058805905295,8.65796797260514,7.50158234983181,7.54457466293982,7.99342838885643,8.12089078819399,118
"24",24,266192,"Wingspan",66032,46424,19608,2112,7418,58614,8.08590740232009,8.4367138536102,7.25533627345981,6.71060464015152,7.936758376921,8.10478322499744,43
"25",25,205637,"Arkham Horror: The Card Game",36334,26771,9563,3406,4291,32043,8.15258454890736,8.47105386649733,7.26105029174945,6.94415330593071,8.04377552318807,8.16715557937771,70
"26",26,266507,"Clank!: Legacy – Acquisitions Incorporated",6405,4397,2008,282,745,5660,8.63449206245121,8.91782533318172,8.01406557270916,7.99812056737589,8.53137316778523,8.64806513250883,34
"27",27,246900,"Eclipse: Second Dawn for the Galaxy",7769,4745,3024,187,874,6895,8.58195715278672,9.04663048893572,7.8528318287037,7.5307486631016,8.69192219679634,8.56801814648296,30
"28",28,237182,"Root",37002,22463,14539,1619,4075,32927,8.09365488838441,8.58020618795352,7.34192493156338,7.1220990302656,8.00244637791411,8.10494272754882,49
"29",29,183394,"Viticulture Essential Edition",39108,25845,13263,2054,4237,34871,8.03570804975964,8.39112007622364,7.34313292920154,6.8960159006816,7.97433572102902,8.04316509305727,80
"30",30,164928,"Orléans",26540,15952,10588,1504,3001,23539,8.06840143933685,8.43059150764795,7.52272180487344,7.23188563829787,7.98149265911363,8.07948148731892,94
"31",31,199792,"Everdell",36142,23653,12489,1557,3675,32467,8.07971131536716,8.44790181160953,7.38239289054368,7.21209484264611,8.01907835102041,8.08657447315736,49
"32",32,312484,"Lost Ruins of Arnak",25867,16347,9520,804,2574,23293,8.10036905323385,8.48957546399951,7.43205422163865,6.92781232587065,7.80999728826729,8.13245667282016,23
"33",33,96848,"Mage Knight Board Game",30512,18681,11831,3579,4720,25792,8.09222118871264,8.59605844547936,7.29666850562083,7.27023769488684,8.06970998516949,8.0963407948201,130
"34",34,175914,"Food Chain Magnate",16926,9015,7911,947,2270,14656,8.10319493560203,8.77371530338325,7.33910175957527,7.33320426610348,8.0361177753304,8.11358420646834,82
"35",35,251247,"Barrage",11644,6542,5102,407,1387,10257,8.22300234541395,8.70114950015286,7.60990185809486,7.33265331695332,8.01548888968998,8.25106329531052,38
"36",36,285774,"Marvel Champions: The Card Game",17229,12835,4394,957,1798,15431,8.18781859190899,8.54302223918972,7.15025855257169,6.97975977011494,8.16605988320356,8.19035388827684,36
"37",37,3076,"Puerto Rico",67029,40281,26748,5146,10696,56332,7.94974052514583,8.31400978054168,7.40117129093764,7.31045543334629,7.92201184461481,7.91875255574096,244
"38",38,102794,"Caverna: The Cave Farmers",30994,18033,12961,2297,3859,27135,7.98828598890108,8.42129003216326,7.38583541316256,7.24604289072704,7.90945840891423,7.99949644149623,106
"39",39,192135,"Too Many Bones",9030,5910,3120,518,1246,7784,8.39924172425249,8.97553502538071,7.30760922115385,7.29016086872587,8.31979775280899,8.41195847507709,66
"40",40,170216,"Blood Rage",40394,23439,16955,2377,4819,35575,7.97197450982819,8.49598287853578,7.24757273134768,7.13871995372318,7.95779476239884,7.97389530260014,84
"41",41,256960,"Pax Pamir: Second Edition",8791,5606,3185,306,1232,7559,8.31996871800705,8.86012635390653,7.3692234411303,7.20167428104575,8.37221672077922,8.3114531022622,38
"42",42,31260,"Agricola",67993,41866,26127,5581,11220,56773,7.91024726221817,8.35515555008837,7.19732460060474,7.13214219315535,7.87427567557933,7.91735629647896,178
"43",43,247763,"Underwater Cities",14707,8485,6222,812,1573,13134,8.0871603474536,8.52101599057159,7.49550732079717,7.25255337438424,8.08233880483154,8.08773780188824,46
"44",44,276025,"Maracaibo",12523,7542,4981,808,1300,11223,8.13100048071548,8.56691444974808,7.47095969484039,7.28634818069307,8.00223974615384,8.14591529448453,34
"45",45,185343,"Anachrony",14751,8106,6645,1010,1864,12887,8.10713595146092,8.65955597088576,7.4332583476298,7.32080400990099,8.07413412017167,8.11190939861876,66
"46",46,221107,"Pandemic Legacy: Season 2",14672,8817,5855,2219,1600,13072,8.08076858505998,8.33938560848361,7.69131917506404,7.91328651194232,7.8184793125,8.11287253518972,58
