"","rank","id","name","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",1,174430,"Gloomhaven",50742,35832,14910,2639,7146,43596,8.71393233514643,9.11781476780531,7.74331427162978,7.4338103486169,8.44179043240974,8.75854023580145,65
"2",2,161936,"Pandemic Legacy: Season 1",46813,30931,15882,5651,5612,41201,8.58167596009656,8.8532396159193,8.05279197582169,8.39950893647142,8.40660417141839,8.60552253853061,80
"3",3,224517,"Brass: Birmingham",28955,19166,9789,746,3106,25849,8.65735105784838,8.99260211572576,8.00095900807028,7.57802651474531,8.65675108821636,8.65742314983171,47
"4",4,291457,"Gloomhaven: Jaws of the Lion",20508,16156,4352,1090,2207,18301,8.61781146820753,8.83722420524882,7.80328201516544,7.43970488990826,8.38655625736294,8.64569957543304,24
"5",5,167791,"Terraforming Mars",79181,53767,25414,2984,9490,69691,8.40610567156262,8.77872826175908,7.61776858149052,7.15537184316354,8.18959788935722,8.43558808468813,70
"6",6,233078,"Twilight Imperium: Fourth Edition",17469,9419,8050,451,2131,15338,8.65293350735589,9.29498977279965,7.90168779751553,7.38423725055433,8.52970264195214,8.67005470791498,58
"7",7,342942,"Ark Nova",11048,7584,3464,157,1302,9746,8.67787069876901,9.0320152782173,7.90251489896074,7.27854777070064,8.29839162826421,8.72856654832752,8
"8",8,187645,"Star Wars: Rebellion",26933,18474,8459,1244,3182,23751,8.41964355289051,8.78985729511746,7.6111166970091,7.43037513665595,8.4417669893149,8.41667960296408,75
"9",9,220308,"Gaia Project",20990,12082,8908,836,2244,18746,8.45222065030967,8.93322045108426,7.79983632240682,7.62350004784689,8.43191497326203,8.45465135228849,56
"10",10,162886,"Spirit Island",36002,23968,12034,2030,4475,31527,8.36807624798622,8.84696490862817,7.41427839039388,7.12197431527093,8.38834791061453,8.36519885114347,59
"11",11,115746,"War of the Ring: Second Edition",16582,10955,5627,783,2140,14442,8.51694354480762,8.95046502327704,7.67293647236538,7.48239335887612,8.72760887850467,8.48572738263398,116
"12",12,182028,"Through the Ages: A New Story of Civilization",26871,14491,12380,1753,3083,23788,8.35956583491497,8.82701929404459,7.81240363166397,7.65448210496292,8.29985084657801,8.36730508617791,80
"13",13,193738,"Great Western Trail",34813,20339,14474,2188,3646,31167,8.27953266164938,8.69028761984365,7.70233595757911,7.78591819012797,8.22216629456938,8.28624353450766,68
"14",14,12333,"Twilight Struggle",44178,29658,14520,3020,7474,36704,8.27231716284123,8.68574374603817,7.42786774104683,7.31051899006623,8.24808600214075,8.27725133064516,197
"15",15,316554,"Dune: Imperium",21511,13888,7623,553,2443,19068,8.33492213983543,8.70876095334102,7.65384206086843,6.91039783001808,8.14811453950062,8.35885600639815,19
"16",16,169786,"Scythe",68568,43525,25043,3020,8294,60274,8.20370547164859,8.68890266812177,7.36042759054426,7.02984971854305,8.07330260067518,8.22164955055248,74
"17",17,84876,"The Castles of Burgundy",52860,34505,18355,3686,7002,45858,8.1282267436625,8.43055686219389,7.55988565186598,7.50405625610418,8.08652768637531,8.13459371996162,136
"18",18,167355,"Nemesis",20497,12654,7843,652,2532,17965,8.35892035614968,8.9040880314525,7.47933961366824,7.17953987730061,8.34911039889415,8.36030297856944,43
"19",19,173346,"7 Wonders Duel",74590,57514,17076,3326,8225,66365,8.10579936653707,8.29190897607539,7.47896005504802,7.03087265784726,8.0680033094225,8.11048365147292,80
"20",20,28720,"Brass: Lancashire",21661,12149,9512,1567,3388,18273,8.18505784128157,8.65178329409828,7.58894266820858,7.79686938736439,8.25711654368359,8.17169742516281,176
"21",21,124361,"Concordia",33368,19799,13569,1668,4269,29099,8.11856640763606,8.4958924405273,7.56799686491267,7.38311590527578,8.17648475521199,8.11006943434482,104
"22",22,177736,"A Feast for Odin",22135,13012,9123,1198,2610,19525,8.19837423085611,8.69328434906241,7.49249124739669,7.32993358931553,8.15973975862069,8.20353868527529,68
"23",23,120677,"Terra Mystica",43048,22552,20496,2996,5084,37964,8.11049583581119,8.66102372960269,7.50474324697502,7.55511066421896,8.00560934697089,8.12454185070067,116
"24",24,266192,"Wingspan",63349,44548,18801,1992,7168,56181,8.09085939336059,8.44353017486756,7.25522416254454,6.68949146586345,7.93938011160714,8.11018627418523,41
"25",25,205637,"Arkham Horror: The Card Game",35467,26186,9281,3311,4206,31261,8.15537066709899,8.47318595852746,7.25866651653917,6.9438164180006,8.05415852829291,8.1689882179073,68
"26",26,266507,"Clank!: Legacy – Acquisitions Incorporated",6040,4163,1877,265,716,5324,8.64642339735099,8.92451845303868,8.02963612147044,8.02630188679245,8.54543995810056,8.6600041904583,32
"27",27,246900,"Eclipse: Second Dawn for the Galaxy",7144,4410,2734,158,811,6333,8.60921995240762,9.06220672789116,7.87854267373811,7.50664556962025,8.69244965474723,8.59856160903205,28
"28",28,237182,"Root",35634,21653,13981,1553,3942,31692,8.09604926390526,8.58466112455549,7.33931422215864,7.11681369607212,7.99567596651446,8.10853416666667,47
"29",29,183394,"Viticulture Essential Edition",37862,25028,12834,1973,4112,33750,8.03906925334108,8.39447291153908,7.34598504285492,6.89848791687785,7.9777311405642,8.04654250725926,78
