"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2017,7,9,9,9,9,NA,10,8.71428571428571,3,6,0,2,7,9,3,6,0,2,7,9,9,9,NA,10,8.71428571428571,0
"2",2017,8,7.23076923076923,13,7.85714285714286,6.5,6,6.66666666666667,7.71428571428571,7,6,1,6,7,22,10,12,1,8,14,7.95454545454545,8.2,7.75,6,7.5,8.21428571428571,1
"3",2017,9,7.713125,16,8.125,6.4775,7,9,7.52928571428571,12,4,1,2,14,38,22,16,2,10,28,7.8528947368421,8.15909090909091,7.431875,6.5,7.8,7.87178571428571,2
"4",2017,10,7.35,59,7.56875,6.88947368421053,7.07142857142857,7.17647058823529,7.4202380952381,40,19,7,17,42,97,62,35,9,27,70,7.54701030927835,7.77822580645161,7.13742857142857,6.94444444444444,7.40740740740741,7.60085714285714,3
"5",2017,11,6.99882352941176,68,7.54044444444444,5.93913043478261,5.9,7.2,6.94188679245283,45,23,5,15,53,165,107,58,14,42,123,7.32109090909091,7.67822429906542,6.66224137931034,6.57142857142857,7.33333333333333,7.31691056910569,4
"6",2017,12,6.96709090909091,55,7.21083333333333,6.50526315789474,6.5,6.93333333333333,6.97975,36,19,4,15,40,220,143,77,18,57,163,7.23259090909091,7.56055944055944,6.62350649350649,6.55555555555556,7.2280701754386,7.2341717791411,5
"7",2018,1,7.11577777777778,90,7.42596774193548,6.42892857142857,6.05,7.20277777777778,7.09402777777778,62,28,5,18,72,310,205,105,23,75,235,7.19867741935484,7.51985365853658,6.57161904761905,6.44565217391304,7.222,7.19123404255319,6
"8",2018,2,6.91379310344828,58,7.39473684210526,6,6.4,6.5,7.01063829787234,38,20,5,11,47,368,243,125,28,86,282,7.15377717391304,7.50028806584362,6.48016,6.4375,7.1296511627907,7.16113475177305,7
"9",2018,3,6.83333333333333,54,7.01176470588235,6.53,6.22,6.94285714285714,6.81702127659574,34,20,5,7,47,422,277,145,33,93,329,7.11277251184834,7.44032490974729,6.48703448275862,6.40454545454545,7.11559139784946,7.11197568389058,8
"10",2018,4,7.02871621621622,37,7.30909090909091,6.6175,6.95833333333333,7.03571428571429,7.02445652173913,22,15,6,14,23,459,299,160,39,107,352,7.10599673202614,7.43066889632107,6.499265625,6.48974358974359,7.10514018691589,7.10625710227273,9
"11",2018,5,7.071,54,7.37085714285714,6.51863157894737,6.7,7.07142857142857,7.07093617021277,35,19,6,7,47,513,334,179,45,114,399,7.10231286549708,7.42440119760479,6.50132122905028,6.51777777777778,7.1030701754386,7.10209649122807,10
"12",2018,6,6.8946235483871,31,7.38070157894737,6.125,5.75,5.71428571428571,7.23888875,19,12,4,7,24,544,353,191,49,121,423,7.09047762867647,7.42204909348442,6.4776780104712,6.45510204081633,7.02272727272727,7.10985775413711,11
"13",2018,7,6.93910714285714,56,7.16547619047619,6.26,6.33333333333333,7.485,6.8204347826087,42,14,6,10,46,600,395,205,55,131,469,7.07634971666667,7.39476792405063,6.46281219512195,6.44181818181818,7.05801526717557,7.08147085287846,12
"14",2018,8,6.91627906976744,43,7.09,6.51538461538462,6.925,7.36666666666667,6.84324324324324,30,13,4,6,37,643,425,218,59,137,506,7.06564514774495,7.37325489411765,6.46594724770642,6.47457627118644,7.07153284671533,7.06405104743083,13
"15",2018,9,6.80612244897959,49,7.08461538461538,5.72,5.4,6.05555555555556,6.975,39,10,3,9,40,692,464,228,62,146,546,7.04726854046243,7.34899424568965,6.4332302631579,6.42258064516129,7.00890410958904,7.05752716117216,14
"16",2018,10,6.76630434782609,46,7.27173913043478,6.26086956521739,6.08888888888889,5.84,6.87926829268293,23,23,9,5,41,738,487,251,71,151,587,7.02975586720867,7.34534564681725,6.41743625498008,6.38028169014085,6.97019867549669,7.0450763713799,15
"17",2018,11,6.90476190476191,42,7.27083333333333,6.41666666666667,6.375,7.1875,6.83823529411765,24,18,4,8,34,780,511,269,75,159,621,7.02302542307692,7.34184604696673,6.41738475836431,6.38,6.9811320754717,7.03375173913043,16
"18",2018,12,7.02283944444444,54,7.5697915625,6.22727272727273,6.58333333333333,7.35,6.929365,32,22,6,12,42,834,543,291,81,171,663,7.02301338129496,7.35527930018416,6.40301202749141,6.39506172839506,7.00701754385965,7.02713900452489,17
