"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2012,11,5,1,NA,5,NA,NA,5,0,1,0,0,1,1,0,1,0,0,1,5,NA,5,NA,NA,5,-11
"2",2013,4,6.71428571428571,7,7.5,6.4,NA,6,7,2,5,0,2,5,8,2,6,0,2,6,6.5,7.5,6.16666666666667,NA,6,6.66666666666667,-6
"3",2013,6,7,1,7,NA,NA,NA,7,1,0,0,0,1,9,3,6,0,2,7,6.55555555555556,7.33333333333333,6.16666666666667,NA,6,6.71428571428571,-4
"4",2013,7,7,1,NA,7,NA,NA,7,0,1,0,0,1,10,3,7,0,2,8,6.6,7.33333333333333,6.28571428571429,NA,6,6.75,-3
"5",2013,8,7.28571428571429,7,7.5,7.2,10,NA,7.28571428571429,2,5,1,0,7,17,5,12,1,2,15,6.88235294117647,7.4,6.66666666666667,10,6,7,-2
"6",2013,9,8,3,8.5,7,NA,NA,8,2,1,0,0,3,20,7,13,1,2,18,7.05,7.71428571428571,6.69230769230769,10,6,7.16666666666667,-1
"7",2013,10,6.7515873015873,63,7.67903225806452,5.853125,6.975,6.544,6.88815789473684,31,32,4,25,38,83,38,45,5,27,56,6.82349397590361,7.68552631578947,6.09555555555556,7.58,6.5037037037037,6.97767857142857,0
"8",2013,11,6.97283464566929,127,7.46153846153846,6.634,7.27142857142857,6.984375,6.96894736842105,52,75,7,32,95,210,90,120,12,59,151,6.91380952380952,7.55611111111111,6.43208333333333,7.4,6.76440677966102,6.97218543046358,1
"9",2013,12,7.15035714285714,140,7.68433734939759,6.37280701754386,6.42857142857143,7.28235294117647,7.10801886792453,83,57,7,34,106,350,173,177,19,93,257,7.00842857142857,7.61763005780347,6.41299435028249,7.0421052631579,6.95376344086022,7.02821011673152,2
"10",2014,1,7.23636363636364,286,7.75769230769231,6.61076923076923,6.98387096774194,7.025,7.31014150943396,156,130,31,74,212,636,329,307,50,167,469,7.11092767295597,7.68404255319149,6.49674267100977,7.006,6.98532934131737,7.15565031982942,3
