"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2001,6,7,6,7.2,6,NA,7,7,5,1,0,1,5,6,5,1,0,1,5,7,7.2,6,NA,7,7,0
"2",2001,7,7.66666666666667,3,7.66666666666667,NA,NA,8,7,3,0,0,2,1,9,8,1,0,3,6,7.22222222222222,7.375,6,NA,7.66666666666667,7,1
"3",2001,8,6.66666666666667,3,7.5,5,NA,NA,6.66666666666667,2,1,0,0,3,12,10,2,0,3,9,7.08333333333333,7.4,5.5,NA,7.66666666666667,6.88888888888889,2
"4",2001,9,8,1,8,NA,NA,NA,8,1,0,0,0,1,13,11,2,0,3,10,7.15384615384615,7.45454545454545,5.5,NA,7.66666666666667,7,3
"5",2001,10,6.5,2,6.5,NA,NA,6.5,NA,2,0,0,2,0,15,13,2,0,5,10,7.06666666666667,7.30769230769231,5.5,NA,7.2,7,4
"6",2001,11,6.33333333333333,3,6.33333333333333,NA,NA,9,5,3,0,0,1,2,18,16,2,0,6,12,6.94444444444444,7.125,5.5,NA,7.5,6.66666666666667,5
"7",2001,12,8,1,8,NA,NA,NA,8,1,0,0,0,1,19,17,2,0,6,13,7,7.17647058823529,5.5,NA,7.5,6.76923076923077,6
"8",2002,1,8.5,2,8.5,NA,NA,NA,8.5,2,0,0,0,2,21,19,2,0,6,15,7.14285714285714,7.31578947368421,5.5,NA,7.5,7,7
"9",2002,2,6.5,4,6.66666666666667,6,6,NA,6.5,3,1,1,0,4,25,22,3,1,6,19,7.04,7.22727272727273,5.66666666666667,6,7.5,6.89473684210526,8
"10",2002,3,5,4,5.66666666666667,3,NA,5,5,3,1,0,1,3,29,25,4,1,7,22,6.75862068965517,7.04,5,6,7.14285714285714,6.63636363636364,9
"11",2002,4,5,1,5,NA,NA,5,NA,1,0,0,1,0,30,26,4,1,8,22,6.7,6.96153846153846,5,6,6.875,6.63636363636364,10
"12",2002,5,2,1,NA,2,NA,NA,2,0,1,0,0,1,31,26,5,1,8,23,6.54838709677419,6.96153846153846,4.4,6,6.875,6.43478260869565,11
"13",2002,6,6,5,6,NA,NA,8,5.5,5,0,0,1,4,36,31,5,1,9,27,6.47222222222222,6.80645161290323,4.4,6,7,6.2962962962963,12
"14",2002,7,7.55,10,7.875,6.25,NA,7.625,7.5,8,2,0,4,6,46,39,7,1,13,33,6.70652173913043,7.02564102564103,4.92857142857143,6,7.19230769230769,6.51515151515152,13
"15",2002,8,7,14,7,7,6.5,7.33333333333333,6.90909090909091,11,3,2,3,11,60,50,10,3,16,44,6.775,7.02,5.55,6.33333333333333,7.21875,6.61363636363636,14
"16",2002,9,6.33333333333333,3,6,7,NA,6,6.5,2,1,0,1,2,63,52,11,3,17,46,6.75396825396825,6.98076923076923,5.68181818181818,6.33333333333333,7.14705882352941,6.60869565217391,15
"17",2002,10,6.22857142857143,7,6.22857142857143,NA,NA,6,6.53333333333333,7,0,0,4,3,70,59,11,3,21,49,6.70142857142857,6.89152542372881,5.68181818181818,6.33333333333333,6.92857142857143,6.60408163265306,16
"18",2002,11,7,3,6.5,8,NA,6.5,8,2,1,0,2,1,73,61,12,3,23,50,6.71369863013699,6.87868852459016,5.875,6.33333333333333,6.89130434782609,6.632,17
"19",2002,12,5.25,8,6.33333333333333,2,NA,4.5,5.5,6,2,0,2,6,81,67,14,3,25,56,6.56913580246914,6.82985074626866,5.32142857142857,6.33333333333333,6.7,6.51071428571429,18
"20",2003,1,5.83333333333333,6,6.25,5,NA,4,6.2,4,2,0,1,5,87,71,16,3,26,61,6.5183908045977,6.79718309859155,5.28125,6.33333333333333,6.59615384615385,6.48524590163934,19
"21",2003,2,6.8,5,6.8,NA,NA,7,6.75,5,0,0,1,4,92,76,16,3,27,65,6.53369565217391,6.79736842105263,5.28125,6.33333333333333,6.61111111111111,6.50153846153846,20
"22",2003,3,6.85714285714286,7,7.4,5.5,NA,7.5,6.6,5,2,0,2,5,99,81,18,3,29,70,6.55656565656566,6.83456790123457,5.30555555555556,6.33333333333333,6.67241379310345,6.50857142857143,21
"23",2003,4,5.8,5,6,5.5,5.5,4,6.25,3,2,2,1,4,104,84,20,5,30,74,6.52019230769231,6.80476190476191,5.325,6,6.58333333333333,6.4945945945946,22
"24",2003,5,5.66666666666667,9,6,5,7,5.75,5.6,6,3,1,4,5,113,90,23,6,34,79,6.45221238938053,6.75111111111111,5.28260869565217,6.16666666666667,6.48529411764706,6.4379746835443,23
"25",2003,6,6.875,8,7,6.5,NA,6.66666666666667,7,6,2,0,3,5,121,96,25,6,37,84,6.4801652892562,6.76666666666667,5.38,6.16666666666667,6.5,6.47142857142857,24
"26",2003,7,6.203125,32,6.39285714285714,4.875,NA,6,6.26,28,4,0,7,25,153,124,29,6,44,109,6.42222222222222,6.68225806451613,5.31034482758621,6.16666666666667,6.42045454545455,6.42293577981651,25
"27",2003,8,5.61764705882353,17,7.1875,4.22222222222222,5,5.66666666666667,5.60714285714286,8,9,2,3,14,170,132,38,8,47,123,6.34176470588235,6.71287878787879,5.05263157894737,5.875,6.37234042553191,6.33008130081301,26
"28",2003,9,6.38888888888889,9,6.875,6,5.5,6.83333333333333,6.16666666666667,4,5,2,3,6,179,136,43,10,50,129,6.34413407821229,6.71764705882353,5.16279069767442,5.8,6.4,6.32248062015504,27
"29",2003,10,7.43636363636364,11,7.85,6.33333333333333,NA,7,7.53333333333333,8,3,0,2,9,190,144,46,10,52,138,6.40736842105263,6.78055555555556,5.23913043478261,5.8,6.42307692307692,6.40144927536232,28
"30",2003,11,6.2,5,9,5.5,NA,6.5,6,1,4,0,2,3,195,145,50,10,54,141,6.40205128205128,6.79586206896552,5.26,5.8,6.42592592592593,6.39290780141844,29
"31",2003,12,6.15,10,6.1875,6,6,5.83333333333333,6.28571428571429,8,2,1,3,7,205,153,52,11,57,148,6.38975609756097,6.7640522875817,5.28846153846154,5.81818181818182,6.39473684210526,6.38783783783784,30
"32",2004,1,6.08333333333333,12,6.2,5.5,NA,6.5,6,10,2,0,2,10,217,163,54,11,59,158,6.37281105990783,6.72944785276074,5.2962962962963,5.81818181818182,6.39830508474576,6.36329113924051,31
"33",2004,2,5.85,10,6.33333333333333,5.64285714285714,6,5.83333333333333,5.85714285714286,3,7,1,3,7,227,166,61,12,62,165,6.34977973568282,6.72228915662651,5.33606557377049,5.83333333333333,6.37096774193548,6.34181818181818,32
"34",2004,3,6.07692307692308,13,6.36363636363636,4.5,NA,5.33333333333333,6.3,11,2,0,3,10,240,177,63,12,65,175,6.335,6.7,5.30952380952381,5.83333333333333,6.32307692307692,6.33942857142857,33
"35",2004,4,6.2,10,6.2,NA,NA,6.4,6,10,0,0,5,5,250,187,63,12,70,180,6.3296,6.67326203208556,5.30952380952381,5.83333333333333,6.32857142857143,6.33,34
"36",2004,5,6.66666666666667,9,7.14285714285714,5,5,7,6.25,7,2,1,5,4,259,194,65,13,75,184,6.34131274131274,6.69020618556701,5.3,5.76923076923077,6.37333333333333,6.32826086956522,35
"37",2004,6,6.3,15,6.5,5.75,4,6.08333333333333,6.44444444444444,11,4,1,6,9,274,205,69,14,81,193,6.33905109489051,6.68,5.32608695652174,5.64285714285714,6.35185185185185,6.33367875647668,36
"38",2004,7,5.68181818181818,11,6.35714285714286,4.5,NA,5.875,5.57142857142857,7,4,0,4,7,285,212,73,14,85,200,6.31368421052631,6.66933962264151,5.28082191780822,5.64285714285714,6.32941176470588,6.307,37
"39",2004,8,6.4,10,6.42857142857143,6.33333333333333,7,6.25,6.5,7,3,1,4,6,295,219,76,15,89,206,6.31661016949152,6.66164383561644,5.32236842105263,5.73333333333333,6.32584269662921,6.3126213592233,38
"40",2004,9,5.67647058823529,17,5.75,5.5,NA,5.375,6.4,12,5,0,12,5,312,231,81,15,101,211,6.28173076923077,6.61428571428571,5.33333333333333,5.73333333333333,6.21287128712871,6.31469194312796,39
"41",2004,10,6.26190476190476,21,6.7,5.16666666666667,5,5.85714285714286,6.46428571428571,15,6,1,7,14,333,246,87,16,108,225,6.28048048048048,6.61951219512195,5.32183908045977,5.6875,6.18981481481481,6.324,40
"42",2004,11,5.03181818181818,22,5.54545454545455,4.51818181818182,3.5,4.9,5.14166666666667,11,11,2,10,12,355,257,98,18,118,237,6.20309859154929,6.57354085603113,5.23163265306122,5.44444444444444,6.08050847457627,6.26413502109705,41
"43",2004,12,6.19285714285714,14,6.57,5.25,NA,6.14285714285714,6.24285714285714,10,4,0,7,7,369,267,102,18,125,244,6.20271002710027,6.57340823970037,5.23235294117647,5.44444444444444,6.084,6.26352459016393,42
