"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2019,10,9.88,1,9.88,NA,NA,9.88,NA,1,0,0,1,0,1,1,0,0,1,0,9.88,9.88,NA,NA,9.88,NA,-15
"2",2019,11,9.66666666666667,3,NA,9.66666666666667,NA,NA,9.66666666666667,0,3,0,0,3,4,1,3,0,1,3,9.72,9.88,9.66666666666667,NA,9.88,9.66666666666667,-14
"3",2019,12,9.5,2,9,10,NA,10,9,1,1,0,1,1,6,2,4,0,2,4,9.64666666666667,9.44,9.75,NA,9.94,9.5,-13
"4",2020,1,9.01227583333333,24,9.46577,8.86111111111111,NA,9.125,8.989731,6,18,0,4,20,30,8,22,0,6,24,9.139154,9.4593275,9.02272727272727,NA,9.39666666666667,9.07477583333333,-12
"5",2020,2,7.14051269230769,26,8.25,6.8076665,NA,6.97,7.247083125,6,20,0,10,16,56,14,42,0,16,40,8.21121339285714,8.94104428571429,7.96793642857143,NA,7.88,8.34369875,-11
"6",2020,3,7.21428571428571,7,9,5.875,NA,7.25,7.2,3,4,0,2,5,63,17,46,0,18,45,8.10044365079365,8.95144823529412,7.78594195652174,NA,7.81,8.21662111111111,-10
"7",2020,4,6.75,8,8,6,9,4.5,7.5,3,5,1,2,6,71,20,51,1,20,51,7.94828098591549,8.808731,7.61084960784314,9,7.479,8.13231274509804,-9
"8",2020,5,9.66666666666667,3,9.5,10,NA,10,9.5,2,1,0,1,2,74,22,52,1,21,53,8.01794527027027,8.87157363636364,7.65679480769231,9,7.59904761904762,8.18392358490566,-8
"9",2020,6,8.6,5,9,8,NA,8,9,3,2,0,2,3,79,25,54,1,23,56,8.05478417721519,8.8869848,7.66950611111111,9,7.63391304347826,8.22764196428571,-7
"10",2020,7,8,4,8.66666666666667,6,NA,8,8,3,1,0,2,2,83,28,55,1,25,58,8.05214397590361,8.86337928571429,7.63915145454545,9,7.6632,8.21979224137931,-6
"11",2020,8,7.14285714285714,7,9.5,6.2,NA,8.5,6.6,2,5,0,2,5,90,30,60,1,27,63,7.98142166666667,8.90582066666667,7.51922216666667,9,7.72518518518518,8.0912373015873,-5
"12",2020,9,9,4,9.33333333333333,8,NA,NA,9,3,1,0,0,4,94,33,61,1,27,67,8.02476542553191,8.94468545454546,7.5271037704918,9,7.72518518518518,8.14549179104478,-4
"13",2020,10,8.11111111111111,9,9.2,6.75,NA,7.75,8.4,5,4,0,4,5,103,38,65,1,31,72,8.03231019417476,8.97827947368421,7.479282,9,7.72838709677419,8.16316597222222,-3
"14",2020,11,8.92307692307692,13,9.375,8.2,NA,10,8.83333333333333,8,5,0,1,12,116,46,70,1,32,84,8.1321375,9.04727434782609,7.53076185714286,9,7.799375,8.25890416666667,-2
"15",2020,12,8.681334,5,10,7.80222333333333,NA,7,9.1016675,2,3,0,1,4,121,48,73,1,33,88,8.15483157024793,9.08697125,7.54191780821918,9,7.77515151515151,8.29721159090909,-1
"16",2021,1,8.07692307692308,13,8.875,6.8,NA,9,8,8,5,0,1,12,134,56,78,1,34,100,8.14727328358209,9.05668964285714,7.49435897435897,9,7.81117647058823,8.2615462,0
"17",2021,2,7.675,20,9.21428571428571,6.84615384615385,4,9,7.44117647058824,7,13,1,3,17,154,63,91,2,37,117,8.08593909090909,9.07420031746032,7.40175824175824,6.5,7.90756756756757,8.14234717948718,1
"18",2021,3,8.59111111111111,45,9.384,7.6,NA,8.44444444444444,8.62777777777778,25,20,0,9,36,199,88,111,2,46,153,8.20017396984924,9.16221159090909,7.43747747747748,6.5,8.01260869565217,8.25656614379085,2
"19",2021,4,8.37331260869565,161,8.83808256637168,7.27916666666667,6.58181818181818,8.14285714285714,8.42182954887218,113,48,11,28,133,360,201,159,13,74,286,8.27760541666667,8.97998980099502,7.3896855345912,6.56923076923077,8.06189189189189,8.33341940559441,3
"20",2021,5,7.96605405405405,185,8.88735042735043,6.38088235294118,5.375,7.046875,8.15830065359477,117,68,4,32,153,545,318,227,17,106,439,8.17184944954128,8.94590550314465,7.08748898678414,6.28823529411765,7.75547169811321,8.27238712984055,4
"21",2021,6,8.13927898461538,325,8.84864311320755,6.80843654867257,6.23913043478261,7.72708333333333,8.25658367588933,212,113,23,72,253,870,530,340,40,178,692,8.15968232183908,8.90700054716981,6.99474508823529,6.26,7.74398876404494,8.26660927745665,5
"22",2021,7,8.1460328358209,335,8.91973059360731,6.68534482758621,6.44642857142857,7.673,8.28720930232558,219,116,28,77,258,1205,749,456,68,255,950,8.15588765145228,8.9107226835781,6.91603800438596,6.33676470588235,7.72255294117647,8.27220381052632,6
"23",2021,8,8.08401557894737,285,8.82496840909091,6.88761467889908,5.92105263157895,7.48809523809524,8.1870141563786,176,109,19,42,243,1490,925,565,87,297,1193,8.14214030872483,8.89440619459459,6.91055456637168,6.24597701149425,7.68939730639731,8.25485168482816,7
"24",2021,9,7.76220638095238,210,8.59128857142857,6.67802197802198,6.14210526315789,6.78,7.95864765714286,119,91,19,35,175,1700,1044,656,106,332,1368,8.09520729411765,8.85985543103448,6.87829775914634,6.22735849056604,7.59352710843374,8.2169600877193,8
"25",2021,10,7.88594202898551,207,8.63519379844961,6.64679487179487,6.84,8.06521739130435,7.86353260869565,129,78,10,23,184,1907,1173,734,116,355,1552,8.07249208180388,8.83514839727195,6.85369663487738,6.2801724137931,7.62408732394366,8.17505889175257,9
"26",2021,11,7.72652406417112,187,8.66660550458716,6.41282051282051,7.25,6.45652173913043,7.90463414634146,109,78,4,23,164,2094,1282,812,120,378,1716,8.04159617956065,8.82081830733229,6.81134646551724,6.3125,7.55304497354497,8.1492141025641,10
"27",2021,12,7.68612613899614,259,8.35148148148148,6.57491412371134,6.33333333333333,7.1625,7.78176561643836,162,97,12,40,219,2353,1444,909,132,418,1935,8.00246879303017,8.76816417590028,6.78611661166117,6.31439393939394,7.51567224880383,8.10762690956072,11
"28",2022,1,7.65747123287671,292,8.4275226519337,6.4018018018018,5.67157894736842,7.57810810810811,7.66898666666667,181,111,19,37,255,2645,1625,1020,151,455,2190,7.96438210586011,8.73022195076923,6.74429411764706,6.23350993377483,7.52074945054945,8.05655236073059,12
"29",2022,2,7.7772625698324,179,8.43626086956522,6.593125,6.75555555555556,7.72962962962963,7.78572368421053,115,64,9,27,152,2824,1740,1084,160,482,2342,7.95252148371105,8.71079348850575,6.73536900369004,6.262875,7.53245020746888,8.0389750939368,13
"30",2022,3,7.65472222222222,144,8.34609195402299,6.59947368421053,6.27777777777778,7.22153846153846,7.69770992366412,87,57,9,13,131,2968,1827,1141,169,495,2473,7.93807300202156,8.69342674876847,6.72858019281332,6.26366863905325,7.52428484848485,8.02089756166599,14
"31",2022,4,7.95474858490566,212,8.62172517482517,6.57246376811594,6.54375,7.1775,8.09292611111111,143,69,16,32,180,3180,1970,1210,185,527,2653,7.93918470754717,8.68822201522843,6.71967768595041,6.28789189189189,7.50322770398482,8.02578453448926,15
"32",2022,5,7.70569037656904,239,8.4880985915493,6.56030927835052,6.6875,7.44871794871795,7.7558,142,97,8,39,200,3419,2112,1307,193,566,2853,7.92286264112313,8.67476674715909,6.70785003825555,6.30445595854922,7.49947173144876,8.00685817385208,16
"33",2022,6,7.84338624338624,189,8.48818965517241,6.81876712328767,6.33333333333333,7.36666666666667,7.92283950617284,116,73,6,27,162,3608,2228,1380,199,593,3015,7.91869938192905,8.66505267953321,6.71371739130435,6.30532663316583,7.49342495784148,8.00234373797678,17
