"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2011,5,10,1,NA,10,NA,NA,10,0,1,0,0,1,1,0,1,0,0,1,10,NA,10,NA,NA,10,-3
"2",2011,6,10,2,10,10,NA,10,10,1,1,0,1,1,3,1,2,0,1,2,10,10,10,NA,10,10,-2
"3",2011,7,10,1,NA,10,NA,NA,10,0,1,0,0,1,4,1,3,0,1,3,10,10,10,NA,10,10,-1
"4",2011,8,8.13944444444444,18,8.876,7.21875,8,7,8.281875,10,8,2,2,16,22,11,11,2,3,19,8.47772727272727,8.97818181818182,7.97727272727273,8,8,8.55315789473684,0
"5",2011,9,8.103125,96,8.41746031746032,7.5030303030303,7.86363636363636,8.03448275862069,8.13283582089552,63,33,11,29,67,118,74,44,13,32,86,8.17296610169492,8.50081081081081,7.62159090909091,7.88461538461539,8.03125,8.2256976744186,1
"6",2011,10,7.80518867924528,106,8.221875,7.1702380952381,7.571875,7.67,7.87183098591549,64,42,16,35,71,224,138,86,29,67,157,7.99892857142857,8.37144927536232,7.40116279069767,7.71206896551724,7.84253731343284,8.06566878980892,2
"7",2011,11,7.88965517241379,87,8.40625,7.25384615384615,7.60714285714286,7.6,7.95,48,39,14,15,72,311,186,125,43,82,229,7.96836012861736,8.38043010752688,7.3552,7.67790697674419,7.79817073170732,8.02930131004367,3
"8",2011,12,7.89926470588235,68,8.29024390243903,7.30555555555556,8.6,8.7,7.65288461538462,41,27,5,16,52,379,227,152,48,98,281,7.95596306068602,8.364140969163,7.34638157894737,7.77395833333333,7.94540816326531,7.95964412811388,4
"9",2012,1,7.6875,100,8.08983050847458,7.10853658536585,7.46666666666667,7.99166666666667,7.59144736842105,59,41,18,24,76,479,286,193,66,122,357,7.89991649269311,8.30755244755245,7.29585492227979,7.69015151515151,7.95450819672131,7.88126050420168,5
"10",2012,2,7.26666666666667,45,7.75,6.80434782608696,6.75,6.725,7.38378378378378,22,23,8,8,37,524,308,216,74,130,394,7.84553435114504,8.26772727272727,7.24351851851852,7.58851351351351,7.87884615384615,7.83454314720812,6
"11",2012,3,7.03409090909091,44,7.60869565217391,6.40476190476191,6.9,7.40909090909091,6.90909090909091,23,21,10,11,33,568,331,237,84,141,427,7.78267605633803,8.2219335347432,7.16919831223629,7.50654761904762,7.84219858156028,7.76302107728337,7
"12",2012,4,7.6656862745098,51,7.9640625,7.16315789473684,7.5,7.765,7.64146341463415,32,19,3,10,41,619,363,256,87,151,468,7.77303715670436,8.19920110192837,7.16875,7.50632183908046,7.83708609271523,7.75237179487179,8
"13",2012,5,7.20446428571429,56,7.98035714285714,6.42857142857143,7.07142857142857,7.33333333333333,7.189,28,28,7,6,50,675,391,284,94,157,518,7.72586666666667,8.1835294117647,7.09577464788732,7.47393617021277,7.81783439490446,7.69799227799228,9
"14",2012,6,7.51090909090909,55,7.81666666666667,7.144,7.46923076923077,7.7,7.47872340425532,30,25,13,8,47,730,421,309,107,165,565,7.70967123287671,8.15738717339667,7.09967637540453,7.47336448598131,7.81212121212121,7.67975221238938,10
"15",2012,7,7.44145454545455,55,8.29310344827586,6.49153846153846,7.125,7.05882352941176,7.61263157894737,29,26,4,17,38,785,450,335,111,182,603,7.69087898089172,8.16613333333333,7.0524776119403,7.46081081081081,7.74175824175824,7.6755223880597,11
"16",2012,8,7.39318181818182,44,7.68695652173913,7.07142857142857,6.9,8.23333333333333,7.26052631578947,23,21,5,6,38,829,473,356,116,188,641,7.67507840772014,8.14283298097251,7.05359550561798,7.43663793103448,7.75744680851064,7.65092043681747,12
"17",2012,9,7.3475,40,7.88695652173913,6.61764705882353,7.25,7.5625,7.29375,23,17,8,8,32,869,496,373,124,196,673,7.66,8.13096774193548,7.03372654155496,7.42459677419355,7.74948979591837,7.63393759286775,13
"18",2012,10,7.49913793103448,58,7.98918918918919,6.63571428571429,6.66666666666667,7.77,7.44270833333333,37,21,6,10,48,927,533,394,130,206,721,7.64993527508091,8.12112570356473,7.01251269035533,7.38961538461538,7.7504854368932,7.62120665742025,14
