"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2008,8,6.99285714285714,14,8.21428571428571,5.77142857142857,NA,6.4,7.32222222222222,7,7,0,5,9,14,7,7,0,5,9,6.99285714285714,8.21428571428571,5.77142857142857,NA,6.4,7.32222222222222,0
"2",2008,9,8.40833333333333,24,8.88461538461539,7.84545454545455,7.5,7.42857142857143,8.81176470588235,13,11,2,7,17,38,20,18,2,12,26,7.88684210526316,8.65,7.03888888888889,7.5,7,8.29615384615385,1
"3",2008,10,7.775,12,8.96,6.92857142857143,6.65,7.7,8,5,7,2,9,3,50,25,25,4,21,29,7.86,8.712,7.008,7.075,7.3,8.26551724137931,2
"4",2008,11,7.73935042735043,117,8.75166666666667,6.67375438596491,7.5,7.21666666666667,8.06602777777778,60,57,4,45,72,167,85,82,8,66,101,7.77547305389221,8.74,6.77565853658537,7.2875,7.24318181818182,8.12330693069307,3
"5",2008,12,8.09908333333333,180,8.5507264957265,7.26031746031746,7.7,7.84354838709677,8.23334745762712,117,63,10,62,118,347,202,145,18,128,219,7.94334005763689,8.63037128712871,6.98623448275862,7.51666666666667,7.533984375,8.18259817351598,4
"6",2009,1,8.15366795366795,259,8.6819018404908,7.25677083333333,8.11111111111111,7.88901098901099,8.29702380952381,163,96,18,91,168,606,365,241,36,219,387,8.03323267326733,8.65338356164384,7.094,7.81388888888889,7.68150684931507,8.23227131782946,5
"7",2009,2,7.87511961722488,209,8.38108108108108,7.30204081632653,8.59090909090909,7.63134328358209,7.99014084507042,111,98,11,67,142,815,476,339,47,286,529,7.99268588957055,8.58988445378151,7.15414159292035,7.99574468085106,7.66975524475525,8.16727599243856,6
"8",2009,3,7.85241935483871,248,8.59833333333333,7.153125,8.025,7.84375,7.8554347826087,120,128,16,64,184,1063,596,467,63,350,713,7.95996142991533,8.5915855704698,7.15386295503212,8.0031746031746,7.70157142857143,8.08680084151473,7
"9",2009,4,7.78766949152542,236,8.58303571428571,7.06927419354839,7.52941176470588,7.57380952380952,7.86554913294798,112,124,17,63,173,1299,708,591,80,413,886,7.9286597382602,8.59023305084746,7.13611505922166,7.9025,7.68208232445521,8.0435993227991,8
"10",2009,5,7.65222535211268,213,8.28883495145631,7.05612727272727,8.09333333333333,7.65489285714286,7.65127388535032,103,110,15,56,157,1512,811,701,95,469,1043,7.88971759259259,8.55195437731196,7.1235634807418,7.93263157894737,7.67883582089552,7.98454362416107,9
"11",2009,6,7.67230392156863,204,8.29,7.18464912280702,7.134375,7.89148936170213,7.60668789808917,90,114,16,47,157,1716,901,815,111,516,1200,7.86387121212121,8.52578801331854,7.13210797546012,7.81756756756757,7.69820542635659,7.9351075,10
"12",2009,7,7.97755102040816,196,8.54905660377358,7.30444444444444,7.56666666666667,7.67439024390244,8.05774193548387,106,90,15,41,155,1912,1007,905,126,557,1355,7.87552458158996,8.52823733862959,7.14924640883978,7.78769841269841,7.69645242369838,7.94913579335793,11
"13",2009,8,7.93020833333333,192,8.69777777777778,7.25294117647059,7.40476190476191,7.82244897959184,7.96713286713287,90,102,21,49,143,2104,1097,1007,147,606,1498,7.8805147338403,8.54214676390155,7.15974975173783,7.73299319727891,7.7066402640264,7.95085380507343,12
"14",2009,9,7.90959183673469,245,8.53617886178862,7.27786885245902,7.56363636363636,7.646875,8.0024861878453,123,122,22,64,181,2349,1220,1129,169,670,1679,7.88354746700724,8.54154508196721,7.17251372896368,7.71094674556213,7.70093134328358,7.95641989279333,13
"15",2009,10,7.83211009174312,218,8.51293103448276,7.0578431372549,7.19615384615385,8.09811320754717,7.74666666666667,116,102,13,53,165,2567,1336,1231,182,723,1844,7.87917919750682,8.53906062874252,7.16301218521527,7.67417582417582,7.73004702627939,7.93765130151844,14
"16",2009,11,7.77648305084746,236,8.41895161290322,7.06517857142857,7.26923076923077,7.82894736842105,7.75977653631285,124,112,13,57,179,2803,1460,1343,195,780,2023,7.87053264359615,8.5288595890411,7.15485331347729,7.64717948717949,7.73727435897436,7.92191250617894,15
"17",2009,12,7.81666666666667,237,8.47906976744186,7.02546296296296,6.875,7.75483870967742,7.83857142857143,129,108,24,62,175,3040,1589,1451,219,842,2198,7.86633322368421,8.52481749528005,7.14522260509993,7.56255707762557,7.738567695962,7.91527707006369,16
"18",2010,1,7.85,296,8.5986301369863,7.12133333333333,7.55555555555556,7.75909090909091,7.87608695652174,146,150,27,66,230,3336,1735,1601,246,908,2428,7.86488399280575,8.5310288184438,7.14298438475952,7.56178861788618,7.74005947136564,7.91156466227348,17
"19",2010,2,7.70053191489362,188,8.40707070707071,6.91460674157303,7.23333333333333,7.18285714285714,7.81895424836601,99,89,15,35,153,3524,1834,1690,261,943,2581,7.85611606129398,8.52433751363141,7.1309573964497,7.54291187739464,7.71937857900318,7.90607477721813,18
"20",2010,3,7.66979695431472,197,8.34040404040404,6.99234693877551,8.06923076923077,7.72363636363636,7.64894366197183,99,98,13,55,142,3721,1933,1788,274,998,2723,7.84625181402849,8.51491722710812,7.12336017897092,7.56788321167883,7.71961322645291,7.89266580976864,19
"21",2010,4,7.83012048192771,166,8.3555,7.03409090909091,7.40625,7.66625,7.88214285714286,100,66,16,40,126,3887,2033,1854,290,1038,2849,7.84556290198096,8.50707575012297,7.12018230852211,7.55896551724138,7.71755684007707,7.89220042120042,20
"22",2010,5,7.75436241610738,149,8.26666666666667,7.03548387096774,7.53333333333333,7.48214285714286,7.81735537190083,87,62,15,28,121,4036,2120,1916,305,1066,2970,7.84219598612488,8.49720990566038,7.11744154488518,7.55770491803279,7.71137335834897,7.88915117845118,21
"23",2010,6,7.64717741935484,124,8.21029411764706,6.96339285714286,6.75,7.38636363636364,7.70343137254902,68,56,12,22,102,4160,2188,1972,317,1088,3072,7.83638293269231,8.48829296160877,7.11306693711968,7.52712933753943,7.70480147058824,7.88298470052084,22
