"","year","month","avg_rating","no_ratings","avg_rating_owned","avg_rating_not_owned","avg_rating_prev_owned","avg_rating_comment","avg_rating_no_comment","no_ratings_owned","no_ratings_not_owned","no_ratings_prev_owned","no_ratings_comment","no_ratings_no_comment","cum_no_ratings","cum_no_ratings_owned","cum_no_ratings_not_owned","cum_no_ratings_prev_owned","cum_no_ratings_comment","cum_no_ratings_no_comment","cum_avg_rating","cum_avg_rating_owned","cum_avg_rating_not_owned","cum_avg_rating_prev_owned","cum_avg_rating_comment","cum_avg_rating_no_comment","month_after_release"
"1",2014,11,9,1,9,NA,NA,9,NA,1,0,0,1,0,1,1,0,0,1,0,9,9,NA,NA,9,NA,-31
"2",2015,2,10,1,10,NA,NA,NA,10,1,0,0,0,1,2,2,0,0,1,1,9.5,9.5,NA,NA,9,10,-28
"3",2015,10,9,1,9,NA,NA,NA,9,1,0,0,0,1,3,3,0,0,1,2,9.33333333333333,9.33333333333333,NA,NA,9,9.5,-20
"4",2016,1,8.5,1,8.5,NA,NA,NA,8.5,1,0,0,0,1,4,4,0,0,1,3,9.125,9.125,NA,NA,9,9.16666666666667,-17
"5",2016,7,8,1,NA,8,NA,NA,8,0,1,0,0,1,5,4,1,0,1,4,8.9,9.125,8,NA,9,8.875,-11
"6",2016,10,8,3,NA,8,NA,10,7,0,3,0,1,2,8,4,4,0,2,6,8.5625,9.125,8,NA,9.5,8.25,-8
"7",2016,11,8.9,7,NA,8.9,9.3,8.5,9.06,0,7,1,2,5,15,4,11,1,4,11,8.72,9.125,8.57272727272727,9.3,9,8.61818181818182,-7
"8",2016,12,6.54,5,9.56666666666667,2,NA,4.66666666666667,9.35,3,2,0,3,2,20,7,13,1,7,13,8.175,9.31428571428571,7.56153846153846,9.3,7.14285714285714,8.73076923076923,-6
"9",2017,1,9,4,9.33333333333333,8,NA,9,9,3,1,0,1,3,24,10,14,1,8,16,8.3125,9.32,7.59285714285714,9.3,7.375,8.78125,-5
"10",2017,2,8.33333333333333,3,9,7,NA,7,9,2,1,0,1,2,27,12,15,1,9,18,8.31481481481481,9.26666666666667,7.55333333333333,9.3,7.33333333333333,8.80555555555556,-4
"11",2017,4,9.06925,4,10,8.759,NA,NA,9.06925,1,3,0,0,4,31,13,18,1,9,22,8.41216129032258,9.32307692307692,7.75427777777778,9.3,7.33333333333333,8.8535,-2
"12",2017,5,8.16666666666667,9,9.125,7.4,8,8,8.21428571428571,4,5,1,2,7,40,17,23,2,11,29,8.356925,9.27647058823529,7.67726086956522,8.65,7.45454545454545,8.69920689655172,-1
"13",2017,6,8.26315789473684,19,8.90909090909091,7.375,8,9,8.125,11,8,1,3,16,59,28,31,3,14,45,8.32672881355932,9.13214285714286,7.59925806451613,8.43333333333333,7.78571428571429,8.49504444444444,0
"14",2017,7,7.6974358974359,39,8.5,6.935,NA,7.2,7.77058823529412,19,20,0,5,34,98,47,51,3,19,79,8.07629591836735,8.87659574468085,7.33876470588235,8.43333333333333,7.63157894736842,8.18325316455696,1
"15",2017,8,8.19878787878788,165,8.79803921568628,7.22857142857143,7.59166666666667,8.07105263157895,8.23700787401575,102,63,12,38,127,263,149,114,15,57,206,8.15314448669202,8.82281879194631,7.27786842105263,7.76,7.92456140350877,8.2163932038835,2
"16",2017,9,8.32324561403509,228,8.77927631578947,7.41118421052632,8.44444444444444,8.1375,8.36766304347826,152,76,9,44,184,491,301,190,24,101,390,8.23213238289206,8.80083056478405,7.3311947368421,8.01666666666667,8.01732673267327,8.28776153846154,3
"17",2017,10,8.12334387351779,253,8.89216438356164,7.07429906542056,7.84166666666667,7.996,8.15470935960591,146,107,12,50,203,744,447,297,36,151,593,8.19513844086022,8.83066219239374,7.2386430976431,7.95833333333333,8.01026490066225,8.24221416526138,4
"18",2017,11,8.30653246753247,231,8.79155405405405,7.44167469879518,7.34615384615385,8.00357142857143,8.34832019704434,148,83,13,28,203,975,595,380,49,179,796,8.22153025641026,8.82093445378151,7.28298947368421,7.79591836734694,8.00921787709497,8.26927386934673,5
"19",2017,12,8.13826086956522,184,8.74525423728814,7.0530303030303,7.27272727272727,7.94823529411765,8.18133333333333,118,66,11,34,150,1159,713,446,60,213,946,8.20831061259707,8.8084095371669,7.24895964125561,7.7,7.99948356807512,8.25532980972516,6
"20",2018,1,8.17772826086957,184,8.79464516129032,7.54725274725275,7.69130434782609,8.13636363636364,8.18334567901235,93,91,23,22,162,1343,806,537,83,235,1108,8.20412062546538,8.80682133995037,7.29950837988827,7.69759036144578,8.01229787234042,8.24480505415162,7
"21",2018,2,8.26494160583942,137,8.90929333333333,7.48548387096774,7.54444444444444,8.18895454545455,8.27947826086957,75,62,9,22,115,1480,881,599,92,257,1223,8.20975067567568,8.8155448354143,7.31875792988314,7.68260869565217,8.02742023346303,8.24806541291905,8
"22",2018,3,8.15196850393701,127,8.56172839506173,7.4304347826087,8.325,8.42916666666667,8.0873786407767,81,46,4,24,103,1607,962,645,96,281,1326,8.20518419415059,8.79417359667359,7.32672248062016,7.709375,8.06173309608541,8.23558371040724,9
"23",2018,4,8.11448883211679,137,8.84230769230769,7.45743013888889,7.61970411764706,7.90526315789474,8.14817771186441,65,72,17,19,118,1744,1027,717,113,300,1444,8.19805961582569,8.79722005842259,7.3398479358438,7.69588469026549,8.05182333333333,8.22844111495845,10
"24",2018,5,8.27985611510791,139,8.74303797468354,7.67,8,8.45625,8.25691056910569,79,60,5,16,123,1883,1106,777,118,316,1567,8.20409770047796,8.79334990958409,7.36534230373231,7.70877093220339,8.07230063291139,8.2306757945118,11
"25",2018,6,8.24247787610619,113,8.80230769230769,7.484375,7.16666666666667,7.553125,8.35618556701031,65,48,6,16,97,1996,1171,825,124,332,1664,8.2062705260521,8.79384713919727,7.37226784242424,7.68254008064516,8.04728012048193,8.23799216947115,12
"26",2018,7,8.07,100,8.81864406779661,6.99268292682927,6.91111111111111,7.878125,8.10654761904762,59,41,9,16,84,2096,1230,866,133,348,1748,8.19976906965649,8.79503658536585,7.35429673210162,7.63033812030075,8.03950287356322,8.23167561212814,13
"27",2018,8,8.00915425373134,134,8.78279283783784,7.055,7.0625,7.60588235294118,8.06774931623932,74,60,8,17,117,2230,1304,926,141,365,1865,8.18831508520179,8.79434177147239,7.33490385529158,7.59812035460993,8.01930684931507,8.22139176407507,14
"28",2018,9,8.223,110,8.88473684210526,7.51132075471698,7.92727272727273,8.57692307692308,8.17556701030928,57,53,11,13,97,2340,1361,979,152,378,1962,8.18994557264957,8.79812760470242,7.34445451481103,7.62194059210526,8.03848412698413,8.21912621814475,15
"29",2018,10,7.96272727272727,132,8.64412698412698,7.34057971014493,7.625,7.925,7.96793103448276,63,69,12,16,116,2472,1424,1048,164,394,2078,8.1778125566343,8.791314375,7.34419939885496,7.62216445121951,8.03387563451777,8.20510377285852,16
"30",2018,11,8.1728125,160,9.00287356321839,7.18356164383562,7.75,8.00909090909091,8.18489932885906,87,73,8,11,149,2632,1511,1121,172,405,2227,8.17750860182371,8.80349547981469,7.33373859946477,7.62811029069767,8.0332024691358,8.20375197126179,17
"31",2018,12,8.252,105,8.67620689655172,7.72851063829787,8.224,8.31454545454545,8.23542168674699,58,47,10,22,83,2737,1569,1168,182,427,2310,8.18036632809646,8.79879010197578,7.34962411815069,7.66085148351648,8.04769789227166,8.20488988744589,18
"32",2019,1,8.26228067669173,133,8.71497507462687,7.80272727272727,7.27,7.75,8.34246373913044,67,66,10,18,115,2870,1636,1234,192,445,2425,8.18416235888502,8.7953575794621,7.37385816045381,7.64049463541667,8.03565617977528,8.21141400824742,19
